Year	Player	Country	Score	To Par	Margin	Earnings ($)
2006	Trevor Immelman	South Africa	69-66-69-67=271	−13	2	900000
2005	Jim Furyk	United States	64-70-67-69=270	−14	2	900000
2004	Stephen Ames	Canada	67-73-64-70=274	−10	2	864000
2003	Tiger Woods	United States	63-70-65-69=267	−21	5	810000
2002	Jerry Kelly	United States	67-69-68-65=269	−19	2	720000
2001	Scott Hoch	United States	69-68-66-64=267	−21	1	648000
2000	Robert Allenby	Australia	69-69-68-68=274	−14	0	540000
1999	Tiger Woods	United States	68-66-68-71=273	−15	3	450000
1998	Joe Durant	United States	68-67-70-66=271	−17	2	396000
1997	Tiger Woods	United States	67-72-68-68=275	−13	3	360000
1996	Steve Stricker	United States	65-69-67-69=270	−18	8	360000
1995	Billy Mayfair	United States	73-70-69-67=279	−9	1	360000
1994	Nick Price	Zimbabwe	67-67-72-71=277	−11	1	216000
1993	Nick Price	Zimbabwe	64-71-67-67=269	−19	5	216000
1992	Ben Crenshaw	United States	70-72-65-69=276	−12	2	198000
