Throne Name	Title	Born-Died	Entered office	Left office	Family Relations
Diylamids of Fars (933–1062)	Diylamids of Fars (933–1062)	Diylamids of Fars (933–1062)	Diylamids of Fars (933–1062)	Diylamids of Fars (933–1062)	Diylamids of Fars (933–1062)
299	Abolhasan, Emir	?892 – 949	933	949	son of Buyeh
305	Abushoja', Emir	937–982	949	982	son of Rokn od-Dowleh
309	Abolfavares, Emir	962–989	982	989	son of Azad od-Dowleh
313	Abuali, Emir	? – 989	989	989	son of Sharaf od-Dowleh
310	Abukalijar, Emir	964–998	989	998	son of Azad od-Dowleh
316	Emir	? – 1000?	998	999	son of Izz od-Dowleh
312	Abunasr, Emir	970–1012	999	1012	son of Azad od-Dowleh
317	Abushoja', Emir	992–1024	1012	1024	son of Baha' od-Dowleh
320	Abolfavares, Emir	999–1028	1024	1026	son of Baha' od-Dowleh
322	Abukalijar, Emir	?1011 – 1048	1026	1048	son of Soltan od-Dowleh
325	Abumansur, Emir	? – ?	1048	1048	son of Emad od-Din
326	Abunasr, Emir	? – 1058	1048	1050	son of Emad od-Din
325	Abumansur, Emir	? – ?	1050	1051	son of Emad od-Din
327	Abusa'id, Emir	? – ?	1051	1053	son of Emad od-Din
325	Abumansur, Emir	? – ?	1053	1062	son of Emad od-Din
Diylamids of Rey, Isfahan, and Hamedan (935–1038)	Diylamids of Rey, Isfahan, and Hamedan (935–1038)	Diylamids of Rey, Isfahan, and Hamedan (935–1038)	Diylamids of Rey, Isfahan, and Hamedan (935–1038)	Diylamids of Rey, Isfahan, and Hamedan (935–1038)	Diylamids of Rey, Isfahan, and Hamedan (935–1038)
301	Abuali, Emir	898–976	935	976	son of Buyeh
307	Abumansur, Emir	941–983	976	983	son of Rokn od-Dowleh
308	Abolhasan, Emir	952–997	976	997	son of Rokn od-Dowleh
314	Abutaleb, Emir	993–1029	997	1029	son of Fakhr od-Dowleh
315	Abutaher, Emir	? – 1021	997	1021	son of Fakhr od-Dowleh
319	Abolhasan, Emir	? – 1023	1021	1023	son of Shams od-Dowleh
324	Abukalijar, Emir	? – ?	c. 1036	c. 1038	son of Majd od-Dowleh
Diylamids of Iraq and Khuzistan (945–1055)	Diylamids of Iraq and Khuzistan (945–1055)	Diylamids of Iraq and Khuzistan (945–1055)	Diylamids of Iraq and Khuzistan (945–1055)	Diylamids of Iraq and Khuzistan (945–1055)	Diylamids of Iraq and Khuzistan (945–1055)
303	Abolhosein, Emir	915–966	945	966	son of Buyeh
306	Abumansur, Emir	943–977	966	977	son of Mo'ez od-Dowleh
305	Abushoja', Emir	937–982	977	982	son of Rokn od-Dowleh
310	Abukalijar, Emir	964–998	982	986	son of Azad od-Dowleh
311	Abolfavares, Emir	962–989	986	989	son of Azad od-Dowleh
312	Abunasr, Emir	970–1012	989	1012	son of Azad od-Dowleh
317	Abushoja', Emir	992–1024	1012	1021	son of Baha od-Dowleh
318	Abuali, Emir	1002–1025	1021	1025	son of Baha' od-Dowleh
321	Abutaher, Emir	994–1043	1025	1025	son of Baha' od-Dowleh
322	Abukalijar, Emir	?1011 – 1048	1025	1027	son of Soltan od-Dowleh
321	Abutaher, Emir	994–1043	1027	1043	son of Baha' od-Dowleh
322	Abukalijar, Emir	?1011 – 1048	1043	1048	son of Soltan od-Dowleh
326	Abunasr, Emir	? – 1058	1048	1055	son of Emad od-Din
