Date	Visitor	Score	Home	Decision	Attendance	Record	Points
February 1	Boston Bruins	3–1	Montreal Canadiens	Price	21,273	28–16–6	62
February 3	Pittsburgh Penguins	2–4	Montreal Canadiens	Price	21,273	29–16–6	64
February 6	Montreal Canadiens	2–3	Buffalo Sabres	Price	18,161	29–17–6	64
February 7	Toronto Maple Leafs	5–2	Montreal Canadiens	Price	21,273	29–18–6	64
February 9	Montreal Canadiens	2–6	Calgary Flames	Price	19,289	29–19–6	64
February 11	Montreal Canadiens	2–7	Edmonton Oilers	Price	16,839	29–20–6	64
February 13	Montreal Canadiens	4–2	Colorado Avalanche	Halak	17,514	30–20–6	66
February 15	Montreal Canadiens	2–4	Vancouver Canucks	Halak	18,630	30–21–6	66
February 18	Montreal Canadiens	3–4 SO	Washington Capitals	Price	18,277	30–21–7	67
February 19	Montreal Canadiens	4–5	Pittsburgh Penguins	Price	16,968	30–22–7	67
February 21	Ottawa Senators	3–5	Montreal Canadiens	Halak	21,273	31–22–7	69
February 24	Vancouver Canucks	0–3	Montreal Canadiens	Halak	21,273	32–22–7	71
February 27	Montreal Canadiens	4–3 OT	Philadelphia Flyers	Halak	19,881	33–22–7	73
February 28	San Jose Sharks	2–3	Montreal Canadiens	Halak	21,273	34–22–7	75
