Outcome	Date	Tournament	Partner	Opponents in the final
Runner-up	21 October 1973	New Delhi, India	Vijay Amritraj	Jim McManus Raúl Ramírez
Winner	19 November 1973	Christchurch , New Zealand	Fred McNair	Jürgen Fassbender Jeff Simpson
Winner	16 November 1974	Bombay , India	Vijay Amritraj	Dick Crealy Onny Parun
Runner-up	19 August 1974	South Orange , New Jersey, USA	Vijay Amritraj	Brian Gottfried Raúl Ramírez
Winner	19 August 1974	Columbus, Ohio , USA	Vijay Amritraj	Tom Gorman Robert Lutz
Runner-up	10 February 1975	Toronto , Canada	Vijay Amritraj	Dick Stockton Erik Van Dillen
Runner-up	10 March 1975	Washington DC, USA	Vijay Amritraj	Mike Estep Russell Simpson
Winner	24 March 1975	Atlanta , Georgia, USA	Vijay Amritraj	Mark Cox Cliff Drysdale
Runner-up	5 August 1975	Louisville , Kentucky, USA	Vijay Amritraj	Wojtek Fibak Guillermo Vilas
Winner	15 September 1975	Los Angeles, California, USA	Vijay Amritraj	Cliff Drysdale Marty Riessen
Runner-up	17 November 1975	Calcutta , India	Vijay Amritraj	Juan Gisbert Manuel Orantes
Winner	9 March 1976	Memphis, Tennessee , USA	Vijay Amritraj	Roscoe Tanner Marty Riessen
Runner-up	7 November 1976	Hong Kong	Ilie Năstase	Hank Pfister Butch Walts
Runner-up	15 November 1976	Manila , Philippines	Corrado Barazzutti	Ross Case Geoff Masters
Winner	13 June 1977	Queen's Club, London, England	Vijay Amritraj	David Lloyd John Lloyd
Winner	25 September 1978	Mexico City , Mexico	Vijay Amritraj	Fred McNair Raúl Ramírez
Runner-up	15 January 1979	Baltimore , Maryland, USA	Cliff Drysdale	Marty Riessen Sherwood Stewart
Runner-up	19 March 1979	San Jose, Costa Rica	Colin Dibley	Ion Țiriac Guillermo Vilas
Runner-up	9 April 1979	Cairo , Egypt	Vijay Amritraj	Peter McNamara Paul McNamee
Runner-up	13 August 1979	Stowe, Vermont , USA	Colin Dibley	Mike Cahill Steve Krulevitz
Runner-up	10 March 1980	San Jose, Costa Rica	Nick Saviano	Jaime Fillol Alvaro Fillol
Runner-up	14 Apr 1980	Los Angeles, California, USA	John Austin	Brian Teacher Butch Walts
Winner	28 Apr 1980	São Paulo , Brazil	Fritz Buehning	David Carter Chris Lewis
Runner-up	8 August 1980	Atlanta , Georgia, USA	John Austin	Tom Gullikson Butch Walts
Runner-up	6 April 1981	Houston , Texas, USA	Fred McNair	Mark Edmondson Sherwood Stewart
Runner-up	3 August 1981	Columbus, Ohio , USA	Vijay Amritraj	Bruce Manson Brian Teacher
Winner	1 November 1982	Baltimore , Maryland, USA	Tony Giammalva	Vijay Amritraj Fred Stolle
Winner	30 November 1982	Chicago, Illinois, USA	Vijay Amritraj	Mike Cahill Bruce Manson
Runner-up	21 February 1983	Delray Beach , Florida, USA	Johan Kriek	Pavel Složil Tomáš Šmíd
Winner	11 July 1983	Stuttgart , Germany	Mike Bauer	Pavel Složil Tomáš Šmíd
