Week 1	Week 2	Week 3	Week 4	Week 5
Vanessa Marie Arevalo	Jillian Mae Sundeen	Wendy Rosprim	Paulette Myers*	Alina Novozilova
Lizette Bordeaux	Gina Grotjohn	Summer Sunday	Katia Corriveau*	[Month Ended]
Stormy Shuff	Cheree Lynn Prochnow	Feather Frazier	Christi Nicole Taylor*	[Month Ended]
Mysti Sherwood	Erin Urban	Casey Mae	Natasha Podkuyko*	Angela Marie Taulane
Amy Warner	Susan Weiss*	Joy Behrman	Candice Hines	[Month Ended]
Crystal Beddows	Dawn Tortorice	Erika Michelle Barré **	Gina Blair	[Month Ended]
Jeanette Rundgren	Samantha Speer	Kathleen Salazar	Roxanne Galla	Shiloh McCormick*
Chantal Vachon	Natasha Bernasek*	Jamie Medeiros	Charis Boyle	[Month Ended]
Rebecca Ramos	Jennifer Korbin	Coco Johnsen	Tailor James *	[Month Ended]
Anna M. Pincenti	Brandy Ritchey	Jeanette Marie Martinez*	Jaime Rucker	Susanne Kohnen
Tiffany Holliday	Gina Patrone	Heather Marie Hoke*	Piret Aava	[Month Ended]
Sandee Westgate	Annah R. Ranemark	Carolee Bass*	Tabitha Taylor	Carrie A. Taylor
