Rank	Heat	Lane	Name	Nationality	Time
1	4	4	Matt Grevers	United States	53.41
2	4	5	Arkady Vyatchanin	Russia	53.64
3	6	4	Aaron Peirsol	United States	53.65
4	6	7	Aschwin Wildeboer Faber	Spain	53.67
5	3	5	Gerhardus Zandberg	South Africa	53.75
6	6	5	Liam Tancock	Great Britain	53.85
7	5	3	Hayden Stoeckel	Australia	53.93
8	3	8	Ľuboš Križko	Slovakia	54.07
9	5	5	Ashley Delaney	Australia	54.08
10	5	2	Junichi Miyashita	Japan	54.12
11	4	2	Stanislav Donets	Russia	54.18
12	4	3	Tomomi Morita	Japan	54.21
13	6	3	Markus Rogan	Austria	54.22
14	6	1	Mirco Di Tora	Italy	54.39
15	5	1	Guy Barnea	Israel	54.50
16	5	6	Gregor Tait	Great Britain	54.62
17	4	6	Aristeidis Grigoriadis	Greece	54.71
18	3	4	Damiano Lestingi	Italy	54.78
19	5	4	Helge Meeuw	Germany	54.88
20	6	2	Guilherme Guido	Brazil	54.89
20	6	8	Răzvan Florea	Romania	54.89
22	4	8	George Du Rand	South Africa	54.90
23	3	7	Sung Min	South Korea	54.99
24	4	1	Gordan Kožulj	Croatia	55.05
25	3	3	Benjamin Stasiulis	France	55.08
26	2	6	Omar Pinzón	Colombia	55.11
27	3	6	Jonathan Massacand	Switzerland	55.21
28	4	7	Nick Driebergen	Netherlands	55.31
29	2	5	Pavel Sankovich	Belarus	55.39
30	3	1	Derya Büyükuncu	Turkey	55.43
31	5	8	Jake Tapp	Canada	55.54
32	3	2	Vytautas Janušaitis	Lithuania	55.65
33	6	6	Thomas Rupprath	Germany	55.77
34	5	7	Marko Strahija	Croatia	55.89
35	2	4	Örn Arnarson	Iceland	56.15
36	2	3	Roland Rudolf	Hungary	56.25
37	2	2	Sun Xiaolei	China	56.44
38	2	8	Oleksandr Isakov	Ukraine	56.55
39	1	4	Danil Bugakov	Uzbekistan	56.59
40	2	7	Eduardo Germán Otero	Argentina	56.74
41	2	1	Tomáš Fučík	Czech Republic	57.29
42	1	5	Stanislav Osinsky	Kazakhstan	57.42
43	1	3	Jared Heine	Marshall Islands	58.86
44	1	2	Souhaib Kalala	Syria	1:00.24
45	1	6	Rubel Mohammad Rana	Bangladesh	1:04.82
