Date	Place	Race winners	GP winner	Source
1 April	Frauenfeld	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
19 May	Chernivtsi	Valentin Giraud / Nicolas Musset	Etienne Bax / Kaspars Stupelis	Result
19 May	Chernivtsi	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
26 May	Schwedt	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
9 June	Kramolín	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
16 June	Varsseveld	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
23 June	Genk	Valentin Giraud / Nicolas Musset	Ben Adriaenssen / Ben van de Bogaart	Result
23 June	Genk	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van de Bogaart	Result
7 July	Iffendic	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
21 July	Strassbessenbach	Etienne Bax / Kaspars Stupelis	Ben Adriaenssen / Ben van den Bogaart	Result
21 July	Strassbessenbach	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
4 August	Kiviõli	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
11 August	Ķegums	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
18 August	Roggenburg	Etienne Bax / Kaspars Stupelis	Ben Adriaenssen / Ben van den Bogaart	Result
18 August	Roggenburg	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
8 September	Dardon Guegnon	Etienne Bax / Kaspars Stupelis	Ben Adriaenssen / Ben van den Bogaart	Result
8 September	Dardon Guegnon	Ben Adriaenssen / Ben van den Bogaart	Ben Adriaenssen / Ben van den Bogaart	Result
15 September	Rudersberg	Ben Adriaenssen / Ben van den Bogaart	Jan Hendrickx / Elvijs Mucenieks	Result
15 September	Rudersberg	Jan Hendrickx / Elvijs Mucenieks	Jan Hendrickx / Elvijs Mucenieks	Result
22 September	Nismes	Etienne Bax / Kaspars Stupelis	Etienne Bax / Kaspars Stupelis	Result
13 October	Cingoli	not held	not held	not held
