Season	Driver	Co-Driver	Team	Tuner	Governing Body
2012	Amittrajit Ghosh	Ashwin Naik	RRPM	B.Rajan	FMSCI
2011	Gaurav Gill	Musa Sherif	MRF	J.Anand	FMSCI
2010	Naren Kumar	D Ram Kumar	Red Rooster Racing	N. Leelakrishnan	FMSCI
2009	Gaurav Gill	Musa Sherif	Team MRF	J.Anand	FMSCI
2008	Vikram Mathias	PVS Murthy	Red Rooster Racing	N. Leelakrishnan	MAI
2007	Gaurav Gill	Musa Sherif	Team MRF	J.Anand	MAI
2006	Naren Kumar	D Ram Kumar	JK Rally Team	N. Leelakrishnan	MAI
2005	Naren Kumar	D Ram Kumar	JK Rally Team	N. Leelakrishnan	MAI
2004	Vikram Mathias	Sujith Kumar	Team MRF	N. Leelakrishnan	MAI
2003	Naren Kumar	D Ram Kumar	Team MRF	N. Leelakrishnan	MAI
2002	Naren Kumar	D Ram Kumar	Team MRF	N. Leelakrishnan	MAI
2001	N. Leelakrishnan	Farooq Ahmed	Team MRF	N. Leelakrishnan	MAI
2000	Naren Kumar	D Ram Kumar	Team MRF	N. Leelakrishnan	MAI
1999	Naren Kumar	Farooq Ahmed	Team MRF	N. Leelakrishnan	FMSCI
1998	N. Leelakrishnan	Farooq Ahmed	Team MRF	N. Leelakrishnan	FMSCI
1997	Hari Singh	Gurinder Singh Mann	JK Rally Team	WSRF	FMSCI
1996	Hari Singh	Gurinder Singh Mann	JK Rally Team	PNR Satish	FMSCI
1995	Hari Singh	Gurinder Singh Mann	JK Rally Team	S.Karivardhan	FMSCI
1994	Hari Singh	Gurinder Singh Mann	JK Rally Team	S.Karivardhan	FMSCI
1993	N. Leelakrishnan	N Mahindran	Team MRF	N. Leelakrishnan	FMSCI
1992	N. Leelakrishnan ***	N Mahindran	Team MRF	N. Leelakrishnan	FMSCI
1991	N. Leelakrishnan	N Mahindran	Team MRF	N. Leelakrishnan	FMSCI
1990	N. Leelakrishnan	C V Jaykumar	Team MRF	N. Leelakrishnan	FMSCI
1989	Farad Bathena	Raj Bagri	Team MRF	J.Anand	FMSCI
1988	Farad Bathena	Raj Bagri	Team MRF	Mohinder Lalwani	FMSCI
