District	Incumbent	Party	First elected	Result	Candidates
Texas 2	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 62.7% John Greco (R) 37.3%
Texas 3	Lindley Beckworth	Democratic	1956	Re-elected	Lindley Beckworth (D) 59.3% James Warren (R) 40.7%
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) 81.4% Fred Banfield (R) 18.6%
Texas 5	Bruce R. Alger	Republican	1954	Lost re-election Democratic gain	Earle Cabell (D) 57.5% Bruce R. Alger (R) 42.5%
Texas 7	John Dowdy	Democratic	1952	Re-elected	John Dowdy (D) 83.6% James W. Orr (R) 16.4%
Texas 9	Clark W. Thompson	Democratic	1947	Re-elected	Clark W. Thompson (D) 75.3% Dave Oakes (R) 24.7%
Texas 10	J. J. Pickle	Democratic	1963	Re-elected	J. J. Pickle (D) 75.8% Billie Pratt (R) 24.2%
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) 68.5% Fred Dielman (R) 31.5%
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) 77.5% W. F. Patton (R) 22.5%
Texas 16	Ed Foreman	Republican	1962	Lost re-election Democratic gain	Richard C. White (D) 55.7% Ed Foreman (R) 44.3%
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) 76.4% Phil Bridges (R) 23.6%
Texas 18	Walter E. Rogers	Democratic	1950	Re-elected	Walter E. Rogers (D) 55.0% Robert Price (R) 45.0%
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) 77.6% Joe B. Philips (R) 22.4%
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) 78.1% Harry Claypool (R) 21.9%
