Name	Games	A-League	Finals	Clean Sheets	Saves	Years
Eugene Galekovic	15 (0)	15 (0)	0 (0)	4	51	2005/06 - 07/08
Glen Moss	15 (0)	14 (0)	0 (0)	2	39	2009/10
Michael Theoklitos	78 (2)	67 (2)	6 (0)	26	206	2005/06 - 2008/09
Mitchell Langerak	28 (1)	19 (1)	3 (0)	10	94	2007/08 - 2009/10
Michael Petkovic	33 (0)	31 (0)	0 (0)	10	113	2010/11
Peter Gavalas	1 (1)	1 (1)	0 (0)	0	0	2006/07
Tando Velaphi	7 (0)	3 (0)	0 (0)	1	22	2011 - 2012/13
Ante Covic	24 (0)	24 (0)	0 (0)	3	108	2011/2012
Lawrence Thomas	4 (1)	4 (1)	0 (0)	1	16	2011/2012 - "present"
Nathan Coe	26 (0)	24 (0)	2 (0)	5	85	2012/2013 - "present"
