Game	February	Opponent	Score	Record
53	1	@ Minnesota North Stars	2 - 1	34-17-2
54	5	Pittsburgh Penguins	4 - 3	35-17-2
55	7	@ Washington Capitals	6 - 2	35-18-2
56	9	Detroit Red Wings	5 - 5 OT	35-18-3
57	12	Vancouver Canucks	5 - 2	36-18-3
58	14	New York Islanders	9 - 2	37-18-3
59	16	@ New Jersey Devils	4 - 2	37-19-3
60	17	Vancouver Canucks	3 - 3 OT	37-19-4
61	20	@ New York Islanders	6 - 2	37-20-4
62	21	Minnesota North Stars	5 - 4	38-20-4
63	23	Philadelphia Flyers	2 - 1 OT	39-20-4
64	25	Chicago Blackhawks	4 - 1	40-20-4
