Player	Period	League	Concacaf	Libertadores	Merconorte	InterLiga	Superliga	Matches
Rodrigo Ruiz	2000 – 2006 / 2010 – 2011	294	12	8	8	7	0	329
Jared Borgetti	1996–2004	295	0	8	4	4	0	311
Oswaldo Sánchez	2007 –	252	25	0	0	4	7	289
Juan Pablo Rodríguez	2007 –	251	25	0	0	3	6	287
Iván Estrada	2007–2013	244	31	0	0	2	7	284
Carlos Cariño	2000–2006	251	2	8	6	7	0	274
Héctor Altamirano	1998–2005	237	4	8	8	7	0	264
Rafael Figueroa	2005–	223	22	0	0	2	7	260
Vicente Matías Vuoso	2003 – 2006 / 2007 – 2010	226	7	8	0	10	6	257
Adrián Martínez	1998 – 2003 / 2004 – 2005	223	4	8	8	3	0	246
