Year	English title	Original title	Country	Director
2000	Crouching Tiger, Hidden Dragon	Wo hu cang long	Taiwan	Ang Lee
2001	Amélie	Le fabuleux destin d'Amélie Poulain	France/Germany	Jean-Pierre Jeunet
2002	The Fast Runner	Atanarjuat	Canada	Zacharias Kunuk
2003	City of God	Cidade de Deus	Brazil	Fernando Meirelles
2004	Hero	Ying xiong	China/Hong Kong	Zhang Yimou
2005	Kung Fu Hustle	Kung fu	China/Hong Kong	Stephen Chow
2006	Letters from Iwo Jima	Letters from Iwo Jima	USA/Japan	Clint Eastwood
2007	The Diving Bell and the Butterfly	Le scaphandre et le papillon	France/USA	Julian Schnabel
2008	Let the Right One In	Låt den rätte komma in	Sweden	Tomas Alfredson
2009	Broken Embraces	Los abrazos rotos	Spain	Pedro Almodóvar
