Player	Original Season	Gender	Eliminated	Placing
Derrick Kosinski	RR: X-Treme	Male	Winner	Winner
Evelyn Smith	Fresh Meat	Female	Winner	Winner
Johnny Devenanzio	RW: Key West	Male	Winner	Winner
Kenny Santucci	Fresh Meat	Male	Winner	Winner
Jenn Grijalva	RW: Denver	Female	Episode 8	Runner-Up
Paula Meronek	RW: Key West	Female	Episode 8	Runner-Up
Robin Hibbard	RW: San Diego	Female	Episode 8	Runner-Up
Ryan Kehoe	Fresh Meat	Male	Episode 8	Runner-Up
Dunbar Merrill	RW: Sydney	Male	Episode 8	9th Place
Johanna Botta	RW: Austin	Female	Episode 8	10th Place
KellyAnne Judd	RW: Sydney	Female	Episode 8	11th Place
Dan Walsh	RR: Viewers' Revenge	Male	Episode 8	12th Place
Colie Edison	RW: Denver	Female	Episode 7	13th Place
Cohutta Grindstaff	RW: Sydney	Male	Episode 6	14th Place
Tyrie Ballard	RW: Denver	Male	Episode 5	15th Place
Ashli Robson	RW: Sydney	Female	Episode 4	16th Place
Rachel Robinson	RR: Campus Crawl	Female	Episode 3	17th Place
Abram Boise	RR: South Pacific	Male	Episode 2	18th Place
Dave Malinosky	RW: Hollywood	Male	Episode 2 (quit)	19th Place
Tonya Cooley	RW: Chicago	Female	Episode 1	20th Place
