Player	Height	Position	Year born	Current Club
Joseph Gomis	1.80	Guard	1978	Grupo Capitol Valladolid
Pape Badiane	2.08	Center	1980	Roanne
Sacha Giffa	1.97	Forward	1977	Strasbourg
Yohann Sangare	1.92	Guard	1983	Lyon-Villeurbanne
Yakhouba Diawara	2.01	Forward	1982	Denver Nuggets
Tony Parker	1.86	Guard	1982	San Antonio Spurs
Cédric Ferchaud	1.94	Guard	1980	Pau-Orthez
Florent Piétrus	2.02	Forward	1981	Unicaja Málaga
Tariq Kirksay	1.98	Guard	1978	Nancy
Boris Diaw	2.03	Forward	1982	Phoenix Suns
Ronny Turiaf	2.06	Center	1983	Los Angeles Lakers
Frédéric Weis	2.18	Center	1977	Iurbentia Bilbao
