Date	Visitor	Score	Home	Record
October 24	Chicago Black Hawks	5–4	Boston Bruins	1–0–0
October 27	Chicago Black Hawks	4–8	Montreal Canadiens	1–1–0
October 31	New York Rangers	1–5	Chicago Black Hawks	2–1–0
November 4	Toronto Maple Leafs	4–7	Chicago Black Hawks	3–1–0
November 8	Chicago Black Hawks	5–4	New York Rangers	4–1–0
November 10	Chicago Black Hawks	2–3	Toronto Maple Leafs	4–2–0
November 11	Toronto Maple Leafs	3–5	Chicago Black Hawks	5–2–0
November 15	Chicago Black Hawks	2–5	Detroit Red Wings	5–3–0
November 18	Detroit Red Wings	5–3	Chicago Black Hawks	5–4–0
November 22	New York Rangers	3–3	Chicago Black Hawks	5–4–1
November 25	Montreal Canadiens	1–5	Chicago Black Hawks	6–4–1
December 1	Chicago Black Hawks	8–2	Toronto Maple Leafs	7–4–1
December 2	Toronto Maple Leafs	5–3	Chicago Black Hawks	7–5–1
December 5	Chicago Black Hawks	3–6	Boston Bruins	7–6–1
December 9	Boston Bruins	3–8	Chicago Black Hawks	8–6–1
December 13	Chicago Black Hawks	7–4	New York Rangers	9–6–1
December 16	Detroit Red Wings	4–6	Chicago Black Hawks	10–6–1
December 19	Montreal Canadiens	4–4	Chicago Black Hawks	10–6–2
December 22	Chicago Black Hawks	6–4	Detroit Red Wings	11–6–2
December 23	Detroit Red Wings	4–4	Chicago Black Hawks	11–6–3
December 29	Chicago Black Hawks	5–4	Montreal Canadiens	12–6–3
December 30	Chicago Black Hawks	2–3	New York Rangers	12–7–3
January 1	Toronto Maple Leafs	1–3	Chicago Black Hawks	13–7–3
January 5	Chicago Black Hawks	3–0	Toronto Maple Leafs	14–7–3
January 6	Chicago Black Hawks	2–3	Detroit Red Wings	14–8–3
January 12	Chicago Black Hawks	3–4	Boston Bruins	14–9–3
January 13	Chicago Black Hawks	2–3	New York Rangers	14–10–3
January 16	Chicago Black Hawks	2–1	Montreal Canadiens	15–10–3
January 20	New York Rangers	1–9	Chicago Black Hawks	16–10–3
January 23	Montreal Canadiens	2–7	Chicago Black Hawks	17–10–3
January 26	Chicago Black Hawks	5–6	Toronto Maple Leafs	17–11–3
January 27	Boston Bruins	1–4	Chicago Black Hawks	18–11–3
January 30	Chicago Black Hawks	3–4	Boston Bruins	18–12–3
February 3	Boston Bruins	1–3	Chicago Black Hawks	19–12–3
February 6	New York Rangers	2–6	Chicago Black Hawks	20–12–3
February 9	Chicago Black Hawks	2–6	Montreal Canadiens	20–13–3
February 10	Chicago Black Hawks	2–2	New York Rangers	20–13–4
February 13	Montreal Canadiens	5–1	Chicago Black Hawks	20–14–4
February 16	Chicago Black Hawks	3–3	Detroit Red Wings	20–14–5
February 17	Detroit Red Wings	2–2	Chicago Black Hawks	20–14–6
February 20	Boston Bruins	3–4	Chicago Black Hawks	21–14–6
February 24	New York Rangers	2–2	Chicago Black Hawks	21–14–7
March 2	Chicago Black Hawks	4–9	Toronto Maple Leafs	21–15–7
March 3	Boston Bruins	3–5	Chicago Black Hawks	22–15–7
March 6	Toronto Maple Leafs	5–2	Chicago Black Hawks	22–16–7
March 10	Montreal Canadiens	3–1	Chicago Black Hawks	22–17–7
March 13	Detroit Red Wings	4–9	Chicago Black Hawks	23–17–7
March 14	Chicago Black Hawks	3–7	Detroit Red Wings	23–18–7
March 16	Chicago Black Hawks	3–6	Montreal Canadiens	23–19–7
March 17	Chicago Black Hawks	3–5	Boston Bruins	23–20–7
