City / Municipality	No. of s Barangay	District	Area (km²)	Population (2010)	Income class (2007)	ZIP code	Mayor
Barcelona	25	2	61.18	20340	5th	4712	Manuel L. Fortes Jr.
Bulan	63	2	196.96	93943	1st	4706	Helen C. De Castro
Bulusan	24	2	96.30	22089	4th	4704	Michael G. Guysayko
Casiguran	25	1	87.13	30995	4th	4702	Ma. Ester A. Hamor
Castilla	34	1	186.20	52903	3rd	4713	Olivia M. Bermillo
Donsol	51	1	156.20	47563	3rd	4715	Jerome F. Alcantara
Gubat	42	2	134.51	57327	1st	4710	Ronnel U. Lim
Irosin	28	2	149.87	51777	2nd	4707	Eduardo E. Ong Jr.
Juban	25	2	121.49	30335	4th	4703	Jimmy J. Fragata
Magallanes	34	1	150.09	35443	3rd	4705	Roque L. Carranza
Matnog	40	2	162.40	37641	3rd	4708	Emilio G. Ubaldo
Pilar	49	1	248.00	68245	1st	4714	Dennis A. Sy-Reyes
Prieto Diaz	23	2	49.07	20478	5th	4711	Jocelyn Y. Lelis
Santa Magdalena	14	2	43.50	16520	5th	4709	Alejandro E. Gamos
