Team	Week 1	Week 2	Week 3	Week 4	Week 5	Week 6	Week 7	Week 8 Final
Darrien/Hollie	33	22	32	27	35	31+40=71	26+30=56	40+40=80
Darren/Lana	29	25	36	28	38	36+38=74	32+40=72	40+ 32 =72
Ben/Stephanie	28	28	25	34	34	35+33=68*	25+32=57*	36 + 32 = 68
JP/Stacey	20	20*	27*	18	22*	30+ 23 =53	18 + 28 = 46 *	Eliminated
Mark/Jennifer	24*	25	25	23*	21	27 +24= 51 *	Eliminated	Eliminated
Paul/Pamela	21	33	33	35	28*	Eliminated	Eliminated	Eliminated
Paul/Aravon	21	18	26	12 *	Eliminated	Eliminated	Eliminated	Eliminated
Stewart/Clare	25	32	23 *	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated
Rob/Dawn	25	20*	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated
Clive/Helga	24*	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated	Eliminated
