Television service	Country	Language	Content	HDTV	Package/Option
Telepace	Italy	Italian	religione	no	no ( FTA )
Daystar Television Network	Italy	English	religione	no	no ( FTA )
Padre Pio TV	Italy	Italian	religione	no	no ( FTA )
The Word Network	United Kingdom	English	religione	no	no ( FTA )
Inspiration	United Kingdom	English	religione	no	no ( FTA )
EWTN	United Kingdom	English	religione	no	no ( FTA )
TBNE	Italy	Italian	religione	no	no ( FTA )
Sender Neu Jerusalem	Germany	German	religione	no	no ( FTA )
TRSP	Italy	Italian	religione	no	no ( FTA )
Erde und Mensch	Germany	German	salute	no	no ( FTA )
