Name	Service	Rank	Place of action	Unit
John Andrews Category:Articles with hCards	Navy	Ordinary Seaman	aboard the USSBenicia	USSBenicia
Charles Brown Category:Articles with hCards	Marine Corps	Corporal	aboard the USSColorado	USSColorado
John Coleman Category:Articles with hCards	Marine Corps	Private	aboard the USSColorado	USSColorado
James Dougherty Category:Articles with hCards	Marine Corps	Private	aboard the USSCarondelet	USSCarondelet
Frederick Franklin Category:Articles with hCards	Navy	Quartermaster	aboard the USSColorado	USSColorado
Patrick H. Grace Category:Articles with hCards	Navy	Chief Quartermaster	aboard the USSBenicia	USSBenicia
Cyrus Hayden Category:Articles with hCards	Navy	Carpenter	aboard the USSColorado	USSColorado
William F. Lukes Category:Articles with hCards	Navy	Landsman	Ganghwa Island	USSColorado
Alexander McKenzie Category:Articles with hCards	Navy	Boatswain's Mate	aboard the USSColorado	USSColorado
Michael McNamara Category:Articles with hCards	Marine Corps	Private	aboard the USSBenicia	USSBenicia
James F. Merton Category:Articles with hCards	Navy	Landsman	Ganghwa Island	USSColorado
Michael Owens Category:Articles with hCards	Marine Corps	Private	aboard the USSColorado	USSColorado
Hugh Purvis Category:Articles with hCards	Marine Corps	Private	aboard the USSAlaska	USSAlaska
Samuel F. Rogers Category:Articles with hCards	Navy	Quartermaster	aboard the USSColorado	USSColorado
William Troy Category:Articles with hCards	Navy	Ordinary Seaman	aboard the USSColorado	USSColorado
