Game	Date	Opponent	Result	Giants points	Opponents	Record	Attendance
1	Sept. 11	at Washington Redskins	Win	27	24	1–0	54,160
2	Sept. 17	Detroit Lions	Win	24	14	2–0	76,021
3	Sept. 24	Phoenix Cardinals	Win	35	7	3–0	75,742
4	Oct. 1	at Dallas Cowboys	Win	30	13	4–0	51,785
5	Oct. 8	at Philadelphia Eagles	Loss	19	21	4–1	65,688
6	Oct. 15	Washington Redskins	Win	20	17	5–1	76,245
7	Oct. 22	at San Diego Chargers	Win	20	13	6–1	46,566
8	Oct. 30	Minnesota Vikings	Win	24	14	7–1	76,041
9	Nov. 5	at Phoenix Cardinals	Win	20	13	8–1	46,588
10	Nov. 12	at Los Angeles Rams	Loss	10	31	8–2	65,127
11	Nov. 19	Seattle Seahawks	Win	15	3	9–2	75,014
12	Nov. 27	at San Francisco 49ers	Loss	24	34	9–3	63,461
13	Dec. 3	Philadelphia Eagles	Loss	17	24	9–4	74,809
14	Dec. 10	at Denver Broncos	Win	14	7	10–4	63,283
15	Dec. 16	Dallas Cowboys	Win	15	0	11–4	72,141
16	Dec. 24	Los Angeles Raiders	Win	34	17	12–4	70,306
