Date	Course	Distance	Type	Winner
23 May	Porto Azzurro to Portoferraio	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
23 May	Portoferraio	km (mi)	Individual time trial	Maurizio Fondriest ( ITA )
24 May	Grosseto to Rieti	km (mi)	Plain stage	Adriano Baffi ( ITA )
25 May	Rieti to Scanno	km (mi)	Stage with mountain(s)	Piotr Ugrumov ( LAT )
26 May	Lago di Scanno to Marcianise	km (mi)	Plain stage	Fabio Baldato ( ITA )
27 May	Paestum to Terme Luigiane	km (mi)	Stage with mountain(s)	Dimitri Konyshev ( RUS )
28 May	Villafranca Tirrena to Messina	km (mi)	Plain stage	Guido Bontempi ( ITA )
29 May	Capo d'Orlando to Agrigento	km (mi)	Plain stage	Bjarne Riis ( DEN )
30 May	Agrigento to Palermo	km (mi)	Plain stage	Adriano Baffi ( ITA )
31 May	Rest day	Rest day	Rest day	Rest day
1 June	Montelibretti to Fabriano	km (mi)	Plain stage	Giorgio Furlan ( ITA )
2 June	Senigallia to Senigallia	km (mi)	Individual time trial	Miguel Indurain ( ESP )
3 June	Senigallia to Dozza	km (mi)	Plain stage	Fabiano Fontanelli ( ITA )
4 June	Dozza to Asiago	km (mi)	Stage with mountain(s)	Dimitri Konyshev ( RUS )
5 June	Asiago to Corvara	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
6 June	Corvara to Corvara	km (mi)	Stage with mountain(s)	Claudio Chiappucci ( ITA )
7 June	Corvara to Lumezzane	km (mi)	Stage with mountain(s)	Davide Cassani ( ITA )
8 June	Lumezzane to Borgo Val di Taro	km (mi)	Plain stage	Fabio Baldato ( ITA )
9 June	Varazze to Pontechianale	km (mi)	Stage with mountain(s)	Marco Saligari ( ITA )
10 June	Sampeyre to Fossano	km (mi)	Plain stage	Adriano Baffi ( ITA )
11 June	Pinerolo to Sestriere	km (mi)	Individual time trial	Miguel Indurain ( ESP )
12 June	Turin to Santuario di Oropa	km (mi)	Stage with mountain(s)	Massimo Ghirotto ( ITA )
13 June	Biella to Milan	km (mi)	Plain stage	Fabio Baldato ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
