Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1991	Arthur Chatschatourow	Inga Beridse	No competition	No competition	No competition
1992 1996	No competition	No competition	No competition	No competition	No competition
1997	Mjawia Malchas	Gaiane Tschachoian	Mjawia Malchas Georgi Enukidse	Gaiane Tschachoian Ia Chartonischwili	Mjawia Malchas Chatuna Chelidse
1998	Mjawia Malchas	Gaiane Tschachoian	Mjawia Malchas Georgi Enukidse	Gaiane Tschachoian Chatuna Chelidse	Mjawia Malchas Gaiane Tschachoian
1999 2000	No competition	No competition	No competition	No competition	No competition
2001	Mjawia Malchas	Gaiane Tschachoian	Mjawia Malchas Georgi Enukidse	Natia Marianaschwili Tschachoian Gaiane	Mjawia Malchas Gaiane Tschachoian
2002	Mamuka Dsodsuaschwili	Gaiane Tschachoian	No competition	No competition	No competition
2003	Edgar Eremian	Gaiane Tschachoian	No competition	No competition	No competition
2004	Nodar Sardlischwili	Natela Mirianaschwili	Nodar Sardlischwili Edgar Eremian	Natela Mirianaschwili Ina Davidowa	Nodar Sardlischwili Ina Davidowa
2005	Mamuka Dsodsuaschwili	Ina Davidowa	Mamuka Dsodsuaschwili Gia Djanelidse	Natela Mirianaschwili Ina Davidowa	Mamuka Dsodsuaschwili Natela Absianidse
2006 2007	No competition	No competition	No competition	No competition	No competition
