Place	Player	Country	Score	To par	Money ( $ )
1	Raymond Floyd	United States	75-68-70-66=279	–1	115,000
T2	Chip Beck	United States	75-73-68-65=281	+1	47,646
T2	Lanny Wadkins	United States	74-70-72-65=281	+1	47,646
T4	Hal Sutton	United States	75-70-66-71=282	+2	26,269
T4	Lee Trevino	United States	74-68-69-71=282	+2	26,269
T6	Ben Crenshaw	United States	76-69-69-69=283	+3	19,009
T6	Payne Stewart	United States	76-68-69-70=283	+3	19,009
T8	Bernhard Langer	West Germany	74-70-70-70=284	+4	14,500
T8	Mark McCumber	United States	74-71-68-71=284	+4	14,500
T8	Jack Nicklaus	United States	77-72-67-68=284	+4	14,500
T8	Bob Tway	United States	70-73-69-72=284	+4	14,500
