Game	February	Opponent	Score	Record	Points
53	1	New York Islanders	2–0	27–16–9–1	64
54	6	@ Boston Bruins	3–4	27–17–9–1	64
55	7	@ Pittsburgh Penguins	4–9	27–18–9–1	64
56	9	@ New York Islanders	5–2	28–18–9–1	66
57	14	@ New York Islanders	3–1	29–18–9–1	68
58	15	Toronto Maple Leafs	5–2	30–18–9–1	70
59	17	Atlanta Thrashers	5–1	31–18–9–1	72
60	19	Carolina Hurricanes	4–0	32–18–9–1	74
61	22	@ New York Islanders	3–4 OT	32–18–9–2	75
62	24	Tampa Bay Lightning	0–0 OT	32–18–10–2	76
63	25	New York Rangers	2–1	33–18–10–2	78
64	27	Montreal Canadiens	2–3	33–19–10–2	78
