Round	Player	Position	Team	College
–	Hank Biasatti Category:Articles with hCards	G	Boston Celtics	Long Island
–	Paul Cloyd Category:Articles with hCards	G/F	Washington Capitols	Wisconsin
–	Jimmy Darden Category:Articles with hCards	G	Chicago Stags	Denver
–	Andy Duncan Category:Articles with hCards	F/C	New York Knicks	William & Mary
–	Johnny Ezersky Category:Articles with hCards	G/F	Boston Celtics	Rhode Island State
–	Elmer Gainer Category:Articles with hCards	F/C	Baltimore Bullets	DePaul
–	Harry Gallatin Category:Articles with hCards ^	F/C	Baltimore Bullets	Northeast Missouri
–	Jack Hewson Category:Articles with hCards	F/C	Boston Celtics	Temple
–	Paul Hoffman Category:Articles with hCards	G/F	Toronto Huskies	Purdue
–	Bob Hubbard Category:Articles with hCards	F/C	Providence Steamrollers	Springfield
–	John Mandic Category:Articles with hCards	F/C	Washington Capitols	Oregon State
–	Saul Mariaschin Category:Articles with hCards	G	Washington Capitols	Harvard
–	Wataru Misaka Category:Articles with hCards	G	New York Knicks	Utah
–	Fritz Nagy Category:Articles with hCards	G/F	Pittsburgh Ironmen	Akron
–	Paul Napolitano Category:Articles with hCards	G/F	St. Louis Bombers	San Francisco
–	Andy Phillip Category:Articles with hCards ^	G/F	Chicago Stags	Illinois
–	Jim Pollard Category:Articles with hCards ^	F/C	Chicago Stags	Stanford
–	Jim Pollard Category:Articles with hCards ^	F/C	Philadelphia Warriors	Stanford
–	Jim Pollard Category:Articles with hCards ^	F/C	St. Louis Bombers	Stanford
–	Chick Reiser Category:Articles with hCards	G/F	Baltimore Bullets	NYU
–	Red Rocha Category:Articles with hCards +	F/C	Toronto Huskies	Oregon State
–	Irv Rothenberg Category:Articles with hCards	C	Washington Capitols	Long Island
–	Ben Schadler Category:Articles with hCards	F	Chicago Stags	Northwestern
–	Don Smith Category:Articles with hCards	G/F	Chicago Stags	Minnesota
–	Gene Stump Category:Articles with hCards	G/F	Boston Celtics	DePaul
–	Jack Tingle Category:Articles with hCards	F	Washington Capitols	Kentucky
–	Gene Vance Category:Articles with hCards	G/F	Chicago Stags	Illinois
–	Matt Zunic Category:Articles with hCards	G/F	Washington Capitols	George Washington
