Place	Player	Country	Score	To par
1	Greg Norman	Australia	71-68-71=210	E
T2	Hal Sutton	United States	75-70-68=211	+1
T2	Lee Trevino	United States	74-68-69=211	+1
4	Bob Tway	United States	70-73-69=212	+2
T5	Raymond Floyd	United States	75-68-70=213	+3
T5	Mark McCumber	United States	74-71-68=213	+3
T5	Mike Reid	United States	74-73-66=213	+3
T5	Payne Stewart	United States	76-68-69=213	+3
T5	Denis Watson	Zimbabwe	72-70-71=213	+3
T10	Lennie Clements	United States	75-72-67=214	+4
T10	Ben Crenshaw	United States	76-69-69=214	+4
T10	Bernhard Langer	West Germany	74-70-70=214	+4
T10	Scott Verplank	United States	75-72-67=214	+4
T10	Tom Watson	United States	72-71-71=214	+4
