No.	#	Title	Directed by	Written by	U.S. viewers (million)	Original air date	Production code
62	1	" Trust Metric "	Tony Scott	Ken Sanzel	9.38	September28,2007	401
63	2	"Hollywood Homicide"	Alexander Zakrzewski	Andy Dettmann	9.76	October5,2007	402
64	3	"Velocity"	Fred Keller	Nicolas Falacci & Cheryl Heuton	9.16	October12,2007	403
65	4	"Thirteen"	Ralph Hemecker	Don McGill	9.85	October19,2007	404
66	5	"Robin Hood"	J. Miller Tobin	Robert Port	9.70	October26,2007	405
67	6	"In Security"	Stephen Gyllenhaal	Sean Crouch	9.34	November2,2007	406
68	7	"Primacy"	Chris Hartwill	Julie Hébert	9.94	November9,2007	407
69	8	"Tabu"	Alex Zakrzewski	Sekou Hamilton	10.26	November16,2007	408
70	9	"Graphic"	John Behring	Nicolas Falacci & Cheryl Heuton	10.12	November23,2007	409
71	10	"Chinese Box"	Dennis Smith	Ken Sanzel	9.75	December14,2007	410
72	11	"Breaking Point"	Craig Ross, Jr.	Andrew Dettman	9.81	January11,2008	411
73	12	"Power"	Julie Hébert	Julie Hébert	10.08	January18,2008	412
74	13	"Black Swan"	John Behring	Ken Sanzel	10.00	April4,2008	413
75	14	"Checkmate"	Stephen Gyllenhaal	Robert Port	9.54	April11,2008	414
76	15	"End Game"	Dennis Smith	Don McGill	9.64	April25,2008	415
77	16	"Atomic No. 33"	Leslie Libman	Sean Crouch	10.33	May2,2008	416
78	17	"Pay to Play"	Alex Zakrzewski	Steve Cohen & Andrew Dettman	9.33	May9,2008	417
