Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2/1	Charlotte Bobcats	127–94	Golden State Warriors	Monta Ellis	20,064	29–19
2/7	Chicago Bulls	108–114	Golden State Warriors	Monta Ellis	19,596	29–20
2/9	Sacramento Kings	105–102	Golden State Warriors	Monta Ellis	20,018	30–20
2/11	Washington Wizards	120–117	Golden State Warriors	Stephen Jackson	19,043	31–20
2/13	Phoenix Suns	120–118	Golden State Warriors	Monta Ellis	19,754	32–20
2/19	Golden State Warriors	109–119	Utah Jazz	Al Harrington	19,911	32–21
2/20	Boston Celtics	119–117	Golden State Warriors	Baron Davis	20,711	33–21
2/22	Atlanta Hawks	110–117	Golden State Warriors	Baron Davis	19,596	33–22
2/26	Seattle SuperSonics	105–99	Golden State Warriors	Monta Ellis	19,412	34–22
2/29	Philadelphia 76ers	119–97	Golden State Warriors	Mickaël Piétrus	19,602	35–22
