Date	Opponent	Venue	Result	Attendance
4 August 1997	Heart of Midlothian	H	3–1	48,257
23 August 1997	Dundee United	H	5–1	48,599
13 September 1997	Aberdeen	H	3–3	50,030
20 September 1997	St. Johnstone	A	2–0	10,093
24 September 1997	Kilmarnock	A	3–0	15,367
27 September 1997	Motherwell	H	2–2	48,672
4 October 1997	Hibernian	A	4–3	15,169
18 October 1997	Dunfermline Athletic	H	7–0	49,696
25 October 1997	Dundee United	A	1–2	12,600
1 November 1997	Kilmarnock	H	4–1	49,413
8 November 1997	Celtic	H	1–0	50,082
15 November 1997	Aberdeen	A	1–1	18,117
19 November 1997	Celtic	A	1–1	49,427
22 November 1997	Motherwell	A	1–1	12,018
29 November 1997	St. Johnstone	H	3–2	49,142
7 December 1997	Hibernian	H	1–0	48,070
13 December 1997	Dunfermline Athletic	A	0–0	12,443
20 December 1997	Heart of Midlothian	A	5–2	17,092
27 December 1997	Dundee United	H	4–1	50,017
2 January 1998	Celtic	A	0–2	49,396
10 January 1998	Aberdeen	H	2–0	49,502
17 January 1998	Motherwell	H	1–0	49,443
31 January 1998	St. Johnstone	A	0–2	10,441
7 February 1998	Dunfermline Athletic	H	1–1	49,019
21 February 1998	Hibernian	A	2–1	13,968
24 February 1998	Kilmarnock	A	1–1	15,931
28 February 1998	Heart of Midlothian	H	2–2	50,046
14 March 1998	Motherwell	A	1–2	11,779
21 March 1998	St. Johnstone	H	2–1	49,788
28 March 1998	Dunfermline Athletic	A	3–2	11,531
1 April 1998	Hibernian	H	3–0	48,488
12 April 1998	Celtic	H	2–0	50,042
19 April 1998	Aberdeen	A	0–1	17,981
25 April 1998	Heart of Midlothian	A	3–0	17,415
2 May 1998	Kilmarnock	H	0–1	50,116
9 May 1998	Dundee United	A	2–1	14,200
