Ranking	Nationality	Name	Years	ICFC	FCWC	Total
1	Argentina	Lionel Messi Category:Articles with hCards	2004–	0	4	68
2	Brazil	Rivaldo	1997–2002	0	0	31
3	Spain	Luis Enrique Category:Articles with hCards	1996–2004	0	0	27
3	Brazil	Evaristo de Macedo Category:Articles with hCards	1957–1962	17	0	27
5	Netherlands	Patrick Kluivert Category:Articles with hCards	1998–2004	0	0	26
6	Spain	Carles Rexach Category:Articles with hCards	1965–1981	4	0	25
7	Bulgaria	Hristo Stoichkov Category:Articles with hCards	1990–1995 1996–1998	0	1	23
8	Spain	José Zaldúa Category:Articles with hCards	1961–1971	18	0	22
9	Hungary	Sándor Kocsis Category:Articles with hCards	1958–1965	11	0	21
10	Brazil	Ronaldinho	2003–2008	0	1	19
