Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	6	1	26
Tevita Vaikona	Wing	5	0	20
Leon Pryce	Centre	8	0	32
Shontayne Hape	Centre	24	0	96
Lesley Vainikolo	Wing	39	0	156
Michael Withers	Fullback	7	10	50
Paul Deacon	Scrum Half	8	124	282
Joe Vagana	Prop	1	0	4
Paul Anderson	Prop	1	0	4
Lee Radford	Second Row	3	0	12
Jamie Peacock	Second Row	4	0	16
Logan Swann	Loose Forward	7	0	28
Toa Kohe-Love	Centre	0	0	0
Karl Pratt	Stand Off	5	0	20
Paul Johnson	Centre	8	0	32
Stuart Reardon	Fullback	15	0	60
Iestyn Harris	Stand Off	6	3	30
Jamie Langley	Loose Forward	8	0	32
Matt Cook	Prop	0	0	0
Karl Pryce	Wing	0	0	0
Vinny Myler	Prop	0	0	0
Aaron Smith	Hooker	3	0	12
Brett Ferres	Second Row	0	0	0
Chris Bridge	Centre	4	6	28
Rob Parker	Prop	6	0	24
Nicky Saxton	Fullback	0	0	0
Stuart Fielden	Prop	3	0	12
Richard Moore	Wing	0	0	0
Richard Colley	Scrum Half	0	0	0
Andy Smith	Wing	2	0	8
