Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
33	January 4	Detroit	L 85–101 (OT)	Andrea Bargnani (25)	Chris Bosh (16)	José Calderón (9)	Air Canada Centre 19,800	17–16
34	January 6	Cleveland	L 90–93 (OT)	Chris Bosh (23)	Anthony Parker (9)	José Calderón (11)	Air Canada Centre 19,800	17–17
35	January 9	Philadelphia	W 109–96 (OT)	Anthony Parker (22)	Jamario Moon (9)	José Calderón (9)	Air Canada Centre 18,067	18–17
36	January 11	@ New York	W 99–90 (OT)	Chris Bosh (40)	Chris Bosh (11)	José Calderón (8)	Madison Square Garden 17,456	19–17
37	January 13	Portland	W 116–109 (2OT)	Chris Bosh (38)	Chris Bosh (14)	José Calderón (10)	Air Canada Centre 19,800	20–17
38	January 15	@ Detroit	L 89–103 (OT)	Chris Bosh (16)	Chris Bosh (11)	José Calderón (5)	The Palace of Auburn Hills 22,076	20–18
39	January 16	Sacramento	W 116–91 (OT)	Chris Bosh (31)	Chris Bosh (9)	José Calderón (14)	Air Canada Centre 17,760	21–18
40	January 18	Atlanta	W 89–78 (OT)	Chris Bosh (35)	Chris Bosh (9)	José Calderón (9)	Air Canada Centre 19,800	22–18
41	January 19	@ Philadelphia	L 95–99 (OT)	Chris Bosh (25)	Chris Bosh , Jamario Moon (9)	José Calderón (11)	Wachovia Center 13,853	22–19
42	January 23	@ Boston	W 114–112 (OT)	José Calderón (24)	Andrea Bargnani , Chris Bosh (7)	José Calderón (13)	TD Banknorth Garden 18,624	23–19
43	January 25	Milwaukee	W 106–75 (OT)	Chris Bosh (32)	Andrea Bargnani , Chris Bosh (7)	José Calderón (12)	Air Canada Centre 19,800	24–19
44	January 29	@ Washington	L 104–108 (OT)	Chris Bosh (37)	Chris Bosh (12)	José Calderón (13)	Verizon Center 12,905	24–20
