Player	Club	Games Played	Minutes	Goals Against	GA Average	Wins	Loses
Jorge Campos	Los Angeles Galaxy	24	2025	27	1.20	13	8
Dave Salzwedel	San Jose Clash	14	1168	17	1.31	9	4
Tony Meola	NY/NJ MetroStars	29	2610	38	1.31	14	15
Mark Dodd	Dallas Burn	31	2776	45	1.46	17	14
Mark Simpson	D.C. United	15	1260	21	1.50	7	6
Mark Dougherty	Tampa Bay Mutiny	28	2520	47	1.68	17	11
Aidan Heaney	New England Revolution	19	1534	29	1.70	8	9
Tom Liner	San Jose Clash	20	1712	33	1.73	7	12
Garth Lagerwey	Kansas City Wiz	23	1959	38	1.75	12	10
Jim St. Andre	New England Revolution	15	1346	27	1.81	6	9
Chris Woods	Colorado Rapids	23	2070	43	1.87	8	15
Jeff Causey	D.C. United	19	1620	35	1.94	9	10
Bo Oshoniyi	Columbus Crew	13	1170	33	2.54	3	10
