Year	2010	2009	2008	2005	2000	1995	1990	1985
Mainland China	100	100	100	100	100	100	100	100
Shanghai	253	270	282	350	382	352	360	444
Beijing	253	275	282	324	307	252	282	308
Tianjin	243	244	247	266	221	194	212	253
Jiangsu	176	173	169	174	150	145	128	123
Zhejiang	172	171	175	191	171	162	130	124
Inner Mongolia	158	155	147	115	83	75	90	94
Guangdong	149	154	159	174	162	161	151	120
Liaoning	141	137	134	134	142	136	164	165
Shandong	137	140	139	141	119	113	110	103
Fujian	133	131	126	129	142	129	107	86
Jilin	105	104	99	94	94	87	106	101
Hebei	96	96	97	103	97	88	89	84
Hubei	93	89	84	81	80	73	94	93
Chongqing	92	90	86	87	80	78	72	73
Shaanxi	90	86	83	75	63	59	75	70
Heilongjiang	90	88	92	102	106	107	123	124
Ningxia	90	85	83	73	68	68	85	86
Shanxi	88	84	91	89	73	70	93	98
Xinjiang	83	78	84	92	94	93	104	96
Hunan	82	80	77	74	69	67	75	73
Henan	81	80	81	80	69	65	66	68
Qinghai	80	76	78	71	65	70	95	94
Hainan	79	75	75	79	87	100	95	85
Jiangxi	71	68	67	67	62	57	69	70
Sichuan	71	68	65	64	63	60	69	66
Anhui	70	64	61	61	61	61	72	75
Guangxi	67	63	62	61	59	65	65	55
Tibet	58	60	58	64	58	47	78	104
Gansu	54	52	52	53	53	46	67	71
Yunnan	52	53	53	55	61	61	74	57
Guizhou	44	43	42	38	35	36	49	49
