Rider	Bike	Laps	Time	Grid
Andrew Pitt	Honda CBR600RR	22	37:08.387	2
Craig Jones	Honda CBR600RR	22	+5.347	4
Jonathan Rea	Honda CBR600RR	22	+9.183	6
Fabien Foret	Yamaha YZF-R6	22	+13.784	3
Robbin Harms	Honda CBR600RR	22	+15.863	14
Mark Aitchinson	Triumph 675	22	+15.967	8
Massimo Roccoli	Yamaha YZF-R6	22	+21.689	13
Barry Veneman	Suzuki GSX-R600	22	+24.070	9
Ivan Clementi	Triumph 675	22	+26.075	18
Broc Parkes	Yamaha YZF-R6	22	+30.387	1
Gianluca Vizziello	Honda CBR600RR	22	+32.578	16
Chris Walker	Kawasaki ZX-6R	22	+34.648	24
Gianluca Nannelli	Honda CBR600RR	22	+36.040	23
Josh Brookes	Honda CBR600RR	22	+37.896	5
Danilo Marrancone	Yamaha YZF-R6	22	+40.167	15
Roberto Lunadei	Honda CBR600RR	22	+40.841	21
William de Angelis	Honda CBR600RR	22	+40.960	31
Didier van Keymeulen	Suzuki GSX-R600	22	+43.302	20
Jesco Gunther	Honda CBR600RR	22	+45.275	34
Danilo dell'Omo	Honda CBR600RR	22	+47.944	27
Lorenzo Alfonsi	Honda CBR600RR	22	+49.173	30
Gregory Leblanc	Honda CBR600RR	22	+49.431	25
Alessandro Brannetti	Yamaha YZF-R6	22	+51.984	22
Graeme Gowland	Honda CBR600RR	22	+52.547	33
Juan Hidalgo	Yamaha YZF-R6	22	+1:06.850	37
Balázs Németh	Honda CBR600RR	22	+1:10.227	36
Santiago Barragan	Honda CBR600RR	22	+1:13.881	35
Attila Magda	Honda CBR600RR	22	+1:29.572	38
Ruggero Scambia	Triumph 675	21	Accident	26
Vesa Kallio	Honda CBR600RR	13	Retirement	12
Miguel Praia	Honda CBR600RR	11	Retirement	29
Garry McCoy	Triumph 675	10	Retirement	19
Katsuaki Fujiwara	Kawasaki ZX-6R	9	Retirement	32
Joan Lascorz	Honda CBR600RR	6	Retirement	10
David Salom	Yamaha YZF-R6	2	Accident	17
Mathieu Lagrive	Honda CBR600RR	2	Accident	11
Arne Tode	Honda CBR600RR	2	Accident	28
Russell Holland	Honda CBR600RR	1	Accident	7
