Date	Opponent	Score	Loss	Record
June 1	Yankees	10 - 2	Fontenot (1-5)	33-15
June 2	Yankees	9 - 8 (10)	Christiansen (1-2)	34-15
June 3	Yankees	15 - 2	Clancy (4-5)	34-16
June 4	@ Tigers	6 - 3 (10)	Key (2-3)	34-17
June 5	@ Tigers	8 - 4	Abbott (2-2)	35-17
June 6	@ Tigers	6 - 3	Petry (8-3)	36-17
June 7	@ Tigers	5 - 3	Clancy (4-6)	36-18
June 8	@ Yankees	4 - 3 (11)	Acker (1-3)	36-19
June 9	@ Yankees	2 - 1	Stieb (7-2)	36-20
June 10	@ Yankees	5 - 3	Alexander (5-2)	36-21
June 11	Tigers	5 - 4	Leal (6-1)	36-22
June 12	Tigers	12 - 3	Morris (11-3)	37-22
June 13	Tigers	7 - 3	Wilcox (7-4)	38-22
June 15	Red Sox	4 - 3 (11)	Clear (5-1)	39-22
June 16	Red Sox	7 - 0	Hurst (8-5)	40-22
June 17	Red Sox	5 - 3	Gale (1-1)	41-22
June 19	Brewers	6 - 5	Key (2-4)	41-23
June 20	Brewers	5 - 4	Alexander (5-3)	41-24
June 21	@ Red Sox	5 - 2	Nipper (0-2)	42-24
June 22	@ Red Sox	8 - 1	Clancy (6-7)	42-25
June 23	@ Red Sox	9 - 3	Gale (1-2)	43-25
June 24	@ Red Sox	5 - 3 (10)	Lamp (4-3)	43-26
June 25	@ Brewers	2 - 1	Alexander (5-4)	43-27
June 25	@ Brewers	9 - 4	Acker (1-4)	43-28
June 26	@ Brewers	6 - 3	Leal (8-2)	43-29
June 27	@ Brewers	5 - 1	Clancy (6-8)	43-30
June 28	Athletics	9 - 6	Atherton (5-4)	44-30
June 29	Athletics	2 - 1	Stieb (8-3)	44-31
June 30	Athletics	6 - 1	Krueger (5-4)	45-31
