Representative	Years	State	Party	Lifespan
Bartlett Yancey	1813–1817	North Carolina	Democratic-Republican	1785–1828
Joel Yancey	1827–1831	Kentucky	Democratic	1773–1838
William Lowndes Yancey	1844–1846	Alabama	Democratic	1814–1863
George L. Yaple	1883–1885	Michigan	Democratic	1851–1939
Robert Morris Yardley	1887–1891	Pennsylvania	Republican	1850–1902
John B. Yates	1815–1817	New York	Democratic-Republican	1784–1836
Richard Yates	1851–1855	Illinois	Whig	1815–1873
Richard Yates	1919–1933	Illinois	Republican	1860–1936
Sidney R. Yates	1949–1963 1965–1999	Illinois	Democratic	1909–2000
Gus Yatron	1969–1993	Pennsylvania	Democratic	1927–2003
George Helm Yeaman	1862–1865	Kentucky	Unionist	1829–1908
Jesse Johnson Yeates	1875–1879 1881	North Carolina	Democratic	1829–1892
Archibald Yell	1836–1839 1845–1846	Arkansas	Democratic	1797–1847
C. H. Yoakum	1895–1897	Texas	Democratic	1849–1909
Seth Hartman Yocum	1879–1881	Pennsylvania	Greenbacker	1834–1895
Samuel S. Yoder	1887–1891	Ohio	Democratic	1841–1921
Tom A. Yon	1927–1933	Florida	Democratic	1882–1971
Tyre York	1883–1885	North Carolina	Independent Democrat	1836–1916
Thomas J. Yorke	1837–1839 1841–1843	New Jersey	Whig	1801–1882
Sam Yorty	1951–1955	California	Democratic	1909–1998
Jacob Yost	1887–1889 1897–1899	Virginia	Republican	1853–1933
Jacob Senewell Yost	1843–1847	Pennsylvania	Democratic	1801–1872
Henry M. Youmans	1891–1893	Michigan	Democratic	1832–1920
Andrew Young	1973–1977	Georgia	Democratic	1932–
Augustus Young	1841–1843	Vermont	Whig	1784–1857
Bryan Rust Young	1845–1847	Kentucky	Whig	1800–1882
Clarence Clifton Young	1953–1957	Nevada	Republican	1922–
Ebenezer Young	1829–1835	Connecticut	National Republican	1783–1851
Edward Lunn Young	1973–1975	South Carolina	Republican	1920–
George M. Young	1913–1924	North Dakota	Republican	1870–1932
H. Casey Young	1875–1881 1883–1885	Tennessee	Democratic	1828–1899
H. Olin Young	1903–1913	Michigan	Republican	1850–1917
Isaac D. Young	1911–1913	Kansas	Republican	1849–1927
J. Smith Young	1878–1879	Louisiana	Democratic	1834–1916
James Young	1911–1921	Texas	Democratic	1866–1942
James R. Young	1897–1903	Pennsylvania	Republican	1847–1924
John Young	1836–1837 1841–1843	New York	Whig	1802–1852
John Andrew Young	1957–1979	Texas	Democratic	1916–2002
John Duncan Young	1873–1875	Kentucky	Democratic	1823–1910
Pierce M. B. Young	1868–1869 1870–1875	Georgia	Democratic	1836–1896
Richard Young	1909–1911	New York	Republican	1846–1935
Robert A. Young	1977–1987	Missouri	Democratic	1923–2007
Samuel H. Young	1973–1975	Illinois	Republican	1922–
Stephen M. Young	1933–1937 1941–1943 1949–1951	Ohio	Democratic	1889–1984
Thomas L. Young	1879–1883	Ohio	Republican	1832–1888
Timothy R. Young	1849–1851	Illinois	Democratic	1811–1898
William Albin Young	1897–1898 1899–1900	Virginia	Democratic	1860–1928
William Singleton Young	1825–1827	Kentucky	National Republican	1790–1827
Harold F. Youngblood	1947–1949	Michigan	Republican	1907–1983
Oscar Youngdahl	1939–1943	Minnesota	Republican	1893–1946
J. Arthur Younger	1953–1967	California	Republican	1893–1967
