Year(s)	Tournament or series	Played in	Games played ( Tests )	Games won ( Tests )	Games lost ( Tests )	Games drawn ( Tests )	Points for ( Tests )	Points against ( Tests )
1998	In the Tri Nations	Australia New Zealand South Africa	7 (4)	0	7 (4)	0	68 (32)	328 (198)
1998	Rugby World Cup Qualifiers	England	2	2	0	0	133	15
1998	Autumn Internationals	England	2	1	1	0	24	19
1999	Five Nations	England Ireland	4	3	1	0	103	78
1999	In Australia	Australia	2 (1)	1	1 (1)	0	54 (15)	36 (22)
1999	RWC Warm-Up Tests	England	2	2	0	0	142	19
1999	Rugby World Cup	England France	5	3	2	0	250	115
2000	Six Nations	England France Italy Scotland	5	4	1	0	183	70
2000	In South Africa	South Africa	5 (2)	4 (1)	1 (1)	0	183 (40)	105 (40)
2000	Autumn Internationals	England	3	3	0	0	66	36
2001	Six Nations	Wales England Ireland	5	4	1	0	229	80
2001	In North America	Canada U.S.A.	5 (3)	5 (3)	0	0	233 (129)	89 (49)
2001	Autumn Internationals	England	3	3	0	0	184	24
2002	Six Nations	Scotland England France Italy	5	4	1	0	184	53
2002	In Argentina	Argentina	2 (1)	1 (1)	1	0	50 (26)	37 (18)
2002	Autumn Internationals	England	3	3	0	0	116	63
2003	Six Nations	England Wales Ireland	5	5	0	0	173	46
2003	In Australasia	New Zealand Australia	3 (2)	3 (2)	0	0	63 (40)	36 (27)
2003	RWC Warm-Up Tests	Wales France England	3	2	1	0	104	30
2003	Rugby World Cup	Australia	7	7	0	0	327	88
2004	Six Nations	England Wales Ireland	5	3	2	0	150	86
2004	In Australasia	New Zealand Australia	3	0	3	0	30	123
2004	Autumn Internationals	England	3	2	1	0	121	37
2005	Six Nations	Wales England Ireland	5	2	3	0	121	77
2005	Autumn Internationals	England	3	2	1	0	85	42
2006	Six Nations	England Italy Scotland France	5	2	3	0	120	106
2006	In Australia	Australia	2	0	2	0	21	77
2006	Autumn Internationals	England	4	1	3	0	75	112
2007	Six Nations	England Ireland Wales	5	3	2	0	119	115
2007	In South Africa	South Africa	2	0	2	0	32	113
2007	RWC Warm-Up Tests	England France	3	1	2	0	86	48
2007	Rugby World Cup	France	7	5	2	0	150	112
2008	Six Nations	England Italy France Scotland	5	3	2	0	108	83
2008	Mid Year Test Series	New Zealand England	2	1	2	0	32	81
2008	Autumn Internationals	England	4	1	3	0	65	115
2009	Six Nations	England Wales Ireland	5	3	2	0	124	70
2009	Mid Year Test Series	England Argentina	2	1	1	0	59	39
2009	End of Year Tests	England	3	1	2	0	31	46
2010	Six Nations	England Italy Scotland France	5	2	2	1	88	76
2010	Mid-Year Test Series	Australia	2	1	1	0	38	47
2010	2010 End Of Year Tests	England	4	2	2	0	88	78
2011	Six Nations	Wales England Ireland	5	4	1	0	132	81
2011	RWC Warm-Up Series	Wales England Ireland	3	2	1	0	52	47
2011	World Cup	New Zealand	1	0	1	0	12	19
2012	Six Nations	Scotland Italy England France	5	4	1	0	98	71
2012	Tour of South Africa	South Africa	5 (3)	2 (0)	2 (2)	1 (1)	169 (58)	129 (72)
2012	End-Of-Year Tests	England	4	2	2	0	121	69
