Year	Group	Award	Film	Result
1976	s César Award	Best Supporting Actress	Aloïse	Nominated
1978	César Awards	Best Actress	The Lacemaker (La Dentellière)	Nominated
1979	César Awards	Best Actress	Violette Nozière	Nominated
1981	César Awards	Best Actress	Loulou	Nominated
1982	César Awards	Best Actress	Coup de torchon	Nominated
1989	César Awards	Best Actress	Story of Women (Une affaire de femmes)	Nominated
1995	César Awards	Best Actress	La Séparation	Nominated
1996	César Awards	Best Actress	La Cérémonie	Won
1999	César Awards	Best Actress	L'École de la chair	Nominated
2001	César Awards	Best Actress	Saint-Cyr	Nominated
2002	César Awards	Best Actress	The Piano Teacher (La Pianiste)	Nominated
2003	César Awards	Best Actress	8 Women (8 Femmes)	Nominated
2006	César Awards	Best Actress	Gabrielle	Nominated
2013	César Awards	Best Supporting Actress	Amour	Nominated
