Members	Teammate	Couples Team	Status	Total Votes
Tania Diana	Ramses	Brown Team	Eliminated Week 1	4
Ramses Diana	Tania	Brown Team	Eliminated Week 1	4
Jodi Nolte	Jeda	Pink Team	Eliminated Week 2	5 *
Jeda Symonds-Poynton	Jodi	Pink Team	Eliminated Week 2	5 *
Amanda Brock, returned Wk 5	Stewart	Purple Team	Eliminated Week 3	3
Stewart Brock, returned Wk 11	Amanda	Purple Team	Eliminated Week 3	3
Sean Doudle, returned Wk 5	Ben	Green Team	Eliminated Week 4	3
Ben Terry	Sean	Green Team	Eliminated Week 4	3
Holly Scouler	Mel	Yellow Team	Eliminated Week 5	7
Melanie "Mel" Scouler	Holly	Yellow Team	Eliminated Week 5	7
Amanda Brock	Sean	White Team	Eliminated Week 6	4
Nathan Miles**	Andrew	Sky Blue Team	Eliminated Castaways	7
Teresa Hamilton	Sharif	Orange Team	Eliminated Week 8	4
Sharif Deen***, Returned Wk 11	Teresa	Orange Team	Eliminated Week 9-Walk	1
Andrew Miles**	Nathan	Sky Blue Team	Eliminated Week 9	7
Meaghan Trattles	Julie	Blue Team	Eliminated Week 10 - Challenge	2
Sean Doudle	Amanda	White Team	Eliminated Week 10	3
Julie Trattles	Meaghan	Blue Team	Eliminated Week 11	4
Stewart Brock***	Amanda	Purple Team	Eliminated Week 12 - The Walk	0
Cameron Fisher	Sammy	Red Team	Eliminated Week 12	4
Samantha "Sammy" Fisher	Cameron	Red Team	3rd Runner-Up	0
Sharif Deen***	Teresa	Orange Team	2nd Runner-Up	0
Tiffany Herdsman	Bob	Grey Team	Runner-Up	2
Bob Herdsman	Tiffany	Grey Team	The Biggest Loser	0
