Date	Opponent	Home/Away	Field	Result
May 20	Rattlers	Home	Franklin Field	W 12-11
May 27	Riptide	Home	Villanova Stadium	W 18-6
June 3	Pride	Home	Villanova Stadium	W 16-15
June 10	Machine	Away	Sports Complex at Benedictine University	W 13-12 OT
June 17	Lizards	Away	Mitchel Athletic Complex	W 13-12
June 24	Cannons	Away	Nickerson Field	L 15-16
June 29	Cannons	Home	Villanova Stadium	L 5-16
July 8	Pride	Away	Mercer County Park	W 17-7
July 20	Lizards	Home	Villanova Stadium	W 10-8
July 27	Bayhawks	Home	Villanova Stadium	W 22-11
August 5	Rattlers	Away	PAETEC Park	W 18-13
August 12	Bayhawks	Away	Johnny Unitas Stadium	W 20-12
