Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Subotica	Суботица (Hungarian: Szabadka)	city	97910	Hungarians	Catholic Christianity
Palić	Палић (Hungarian: Palics)	town	7771	Hungarians	Catholic Christianity
Bački Vinogradi	Бачки Виногради (Hungarian: Királyhalma)	village	1922	Hungarians	Catholic Christianity
Bačko Dušanovo	Бачко Душаново (Hungarian: Zentaörs)	village	627	Hungarians	Catholic Christianity
Bajmok	Бајмок	village	7414	Serbs	Catholic Christianity
Bikovo	Биково (Croatian: Bikovo)	village	1487	Croats	Catholic Christianity
Čantavir	Чантавир (Hungarian: Csantavér)	village	6591	Hungarians	Catholic Christianity
Donji Tavankut	Доњи Таванкут (Croatian: Donji Tavankut)	village	2327	Croats	Catholic Christianity
Đurđin	Ђурђин (Croatian: Đurđin)	village	1441	Croats	Catholic Christianity
Gornji Tavankut	Горњи Таванкут (Croatian: Gornji Tavankut)	village	1097	Croats	Catholic Christianity
Hajdukovo	Хајдуково (Hungarian: Hajdújárás)	village	2313	Hungarians	Catholic Christianity
Kelebija	Келебија (Hungarian: Kelebia)	village	2142	Hungarians	Catholic Christianity
Ljutovo	Љутово (Bunjevac: Ljutovo)	village	1067	Bunjevci	Catholic Christianity
Mala Bosna	Мала Босна (Croatian: Mala Bosna)	village	1082	Croats	Catholic Christianity
Mišićevo	Мишићево	village	377	Serbs	Orthodox Christianity
Novi Žednik	Нови Жедник	village	2381	Serbs	Orthodox Christianity
Stari Žednik	Стари Жедник (Croatian: Stari Žednik)	village	1947	Croats	Catholic Christianity
Šupljak	Шупљак (Hungarian: Ludas)	village	1115	Hungarians	Catholic Christianity
