Game	December	Opponent	Score	Record	Points
30	2	Edmonton Oilers	3–6	17–11–2	36
31	6	Buffalo Sabres	3–4	17–12–2	36
32	8	@ Minnesota North Stars	0–7	17–13–2	36
33	9	@ Chicago Blackhawks	5–4	18–13–2	38
34	11	@ Washington Capitals	1–4	18–14–2	38
35	13	New York Islanders	2–2 OT	18–14–3	39
36	15	Detroit Red Wings	1–3	18–15–3	39
37	16	@ Winnipeg Jets	4–2	19–15–3	41
38	18	@ Detroit Red Wings	1–3	19–16–3	41
39	20	New Jersey Devils	3–3 OT	19–16–4	42
40	22	@ Hartford Whalers	0–1	19–17–4	42
41	23	Montreal Canadiens	4–4 OT	19–17–5	43
42	27	@ Los Angeles Kings	7–5	20–17–5	45
43	29	@ St. Louis Blues	3–1	21–17–5	47
44	31	@ Buffalo Sabres	2–5	21–18–5	47
