Game	Date	Opponent	Score	Location	Attendance	Record	Points
48	February 1	Washington Capitals	7–4(L)	Washington	18,277	17–24–7	41
49	February 3	Los Angeles Kings	1–0(L)	Scotiabank Place	18,054	17–25–7	41
50	February 5	Boston Bruins	4–3(L-SO)	Scotiabank Place	17,297	17–25–8	42
51	February 7	Buffalo Sabres	3–2(W-SO)	Scotiabank Place	18,452	18–25–8	44
52	February 11	Buffalo Sabres	3–1(W)	Buffalo	18,690	19–25–8	46
53	February 12	Philadelphia Flyers	5–2(W)	Philadelphia	19,679	20–25–8	48
54	February 14	Minnesota Wild	5–3(W)	Minnesota	18,568	21–25–8	50
55	February 16	Nashville Predators	2–0(W)	Nashville	14,681	22–25–8	52
56	February 17	Colorado Avalanche	3–2(L-OT)	Denver	15,237	22–25–9	53
57	February 19	Vancouver Canucks	5–2(L)	Scotiabank Place	19,716	22–26–9	53
58	February 21	Montreal Canadiens	5–3(L)	Montreal	21,723	22–27–9	53
59	February 24	Carolina Hurricanes	4–2(W)	Scotiabank Place	16,541	23–27–9	55
60	February 26	San Jose Sharks	2–1(L)	Scotiabank Place	17,791	23–28–9	55
61	February 28	Toronto Maple Leafs	4–3(L-OT)	Scotiabank Place	20,050	23–28–10	56
