Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	71	1:28:15.818	1
David Coulthard	McLaren - Mercedes	71	+12.535	2
Rubens Barrichello	Ferrari	71	+30.795	3
Jacques Villeneuve	BAR - Honda	70	+1 Lap	7
Jenson Button	Williams - BMW	70	+1 Lap	18
Mika Salo	Sauber - Petronas	70	+1 Lap	9
Johnny Herbert	Jaguar - Cosworth	70	+1 Lap	16
Marc Gené	Minardi - Fondmetal	70	+1 Lap	20
Pedro Diniz	Sauber - Petronas	70	+1 Lap	11
Alexander Wurz	Benetton - Playlife	70	+1 Lap	14
Luciano Burti	Jaguar - Cosworth	69	+2 Laps	21
Gastón Mazzacane	Minardi - Fondmetal	68	+3 Laps	22
Ricardo Zonta	BAR - Honda	58	Engine	6
Ralf Schumacher	Williams - BMW	52	Brakes	19
Nick Heidfeld	Prost - Peugeot	41	Collision	13
Jean Alesi	Prost - Peugeot	41	Collision	17
Pedro de la Rosa	Arrows - Supertec	32	Gearbox	12
Jos Verstappen	Arrows - Supertec	14	Engine	10
Heinz-Harald Frentzen	Jordan - Mugen-Honda	4	Oil Leak	15
Michael Schumacher	Ferrari	0	Collision	4
Jarno Trulli	Jordan - Mugen-Honda	0	Collision	5
Giancarlo Fisichella	Benetton - Playlife	0	Collision	8
