District	Constituency	Incumbent	Votes for Republican candidate	Votes for Democratic candidate
1	Hartford (part), Wethersfield (part)	John W. Fonfara ( D )	Barbara Rhue 3,478	John W. Fonfara 11,980 WF TP
2	Bloomfield (part), Hartford (part), Windsor (part)	Eric D. Coleman (D)	None	Eric D. Coleman 20,918 WF
4	Bolton , Glastonbury , Manchester , Marlborough	Mary Ann Handley (D)	Stewart "Chip" Beckett 18,488	Steve Cassano 18,561 WF
6	Berlin , Farmington (part), New Britain	Donald J. DeFronzo (D)	Henry Zembko 7,307	Donald J. DeFronzo † 15,556 WF
10	New Haven (part), West Haven (part)	Toni N. Harp (D)	None	Toni N. Harp 16,294
11	Hamden (part), New Haven (part)	Martin M. Looney (D)	Matthew J. Corcoran 5,597	Martin M. Looney 19,438 WF
14	Milford , Orange , West Haven (part)	Gayle Slossberg (D)	Vincent Marino 14,339	Gayle Slossberg 19,420 I
15	Naugatuck (part), Prospect , Waterbury (part)	Joan V. Hartley (D)	None	Joan V. Hartley 14,178 TP
21	Monroe (part), Shelton , Stratford (part)	Dan Debicella (R)	Kevin C. Kelly 22,455	James R. Miron 10,864
22	Bridgeport (part), Monroe (part), Trumbull	Anthony Musto (D)	David R. Pia 12,899	Anthony J. Musto 14,861 WF
23	Bridgeport (part), Stratford (part)	Ed A. Gomes (D)	Milton Johnson 275	Edwin A. Gomes 10,797 WF
24	Bethel (part), Danbury , New Fairfield , Sherman	Michael McLachlan (R)	Michael A. McLachlan 15,649 I	Alice M. Hutchinson 10,956 WF
25	Darien (part), Norwalk	Bob Duff (D)	Artie Kassimis 10,358	Bob Duff 18,767
27	Darien (part), Stamford (part)	Andrew J. McDonald (D)	Bob Kolenberg 10,321	Andrew J. McDonald † 14,750
28	Easton , Fairfield , Newtown , Weston (part)	John P. McKinney (R)	John McKinney 26,249	Mitchell Fuchs 12,694
31	Bristol , Harwinton (part), Plainville , Plymouth	Thomas A. Colapietro (D)	Jason Welch 14,717	Tom Colapietro 13,944 WF
34	East Haven , North Haven , Wallingford	Len Fasano (R)	Leonard A. Fasano 23,454 WF	None
