Draw	Language	Artist	Song	English translation	National final	Place	Points
01	English	Claudia Faniello	"Caravaggio"	–	2nd	13	53
02	Hebrew	Bo'az Ma'uda & Oshrat Papin	"Parparim"	Butterflies	3rd	8	90
03	English	Sergey Lazarev	"Flyer"	–	4th	7	119
04	English	Rolf Junior	"One on One"	–	4th	21	0
05	English	Sandrine	"I Feel The Same Way"	–	2nd	10	64
06	Macedonian	Risto Samardziev	"Dojdi do mene"	Come to me	3rd	19	7
07	English	Man Meadow	"Viva la Musica"	Hail to the music	3rd	3	155
08	Finnish	Mikael Konttinen	"Milloin"	When	Unplaced	14	46
09	German	Carolin Fortenbacher	" Hinterm Ozean "	Beyond the ocean	2nd	6	129
10	English	Kendra Lou	"Until We're Satisfied"	–	4th	18	21
11	English	Kostas Martakis	" Always and Forever "	–	2nd	4	140
12	Serbian	Beauty Queens	"Zavet"	A pledge	3rd	9	68
13	Croatian	Emilija Kokić	"Andjeo"	Angel	6th	15	31
14	English	Aiste Pilvelyte	"Troy on Fire"	–	2nd	17	26
15	English	Leona Daly	"Not Crazy After All"	–	Unplaced	12	56
16	English	The Revelations	"It's You"	–	3rd	16	29
17	Portuguese	Lisboa Não Sejas Francesa	"Porto de encontro"	Meeting harbour	9th	20	6
18	English	Sanna Nielsen	"Empty Room"	–	2nd	1	269
19	English	Veronica Akselsen	"Am I Supposed To Love Again"	–	4th	5	139
20	Slovene	Brigita Šuler	"Samara"	–	3rd	11	57
21	Spanish	Coral	"Todo está en tu mente"	Everything is in your mind	2nd	2	178
