Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Robbie Cooke	Kettering Town	28	0	0	0	28
Efan Ekoku	Sutton	25	0	0	0	25
Simon Read	Farnborough Town	23	2	0	1	26
Ian Thompson	Merthyr Tydfil	21	3	0	0	24
John Borthwick	Darlington	19	2	0	1	22
Mark Carter	Runcorn	19	0	2	1	22
Mike Doherty	Runcorn	18	1	0	0	19
Gary Bull	Barnet	17	5	0	3	25
Andrew Clarke	Barnet	17	2	0	0	19
Paul Furlong	Enfield	17	0	1	1	19
Paul Gorman	Fisher Athletic	17	0	0	0	17
Terry Robbins	Welling United	17	2	1	2	22
David Webley	Merthyr Tydfil	17	2	0	0	19
Steve Burr	Macclesfield Town	16	3	2	0	21
Kim Casey	Kidderminster Harriers	16	0	3	6	25
Paul McKinnon	Sutton	16	1	0	3	20
Mark West	Wycombe Wanderers	16	1	1	2	20
Martin Hanchard	Northwich Victoria	14	2	0	0	16
Mark Whitehorse	Kidderminster Harriers	14	2	3	2	21
David Cork	Darlington	12	1	3	1	17
Colin Cowperthwaite	Barrow	12	2	0	1	15
Ken McKenna	Telford United	12	0	2	0	14
Mickey Spencer	Yeovil Town	12	1	1	3	17
