Artist	Song	Lyrics (l) / Music (m)	Votes	Place
Luciana Abreu	"Juntos vamos conseguir (Yes We Can)"	Carlos Coincas (m & l), Luciana Abreu (l)	11193	1
Nuno & Fábia	"Não demores (quero-te aquecer)"	Pedro Vaz (m & l)	10420	2
Eva Danin	"Amor mais forte que o vento"	Rui Videira (m & l)	10015	3
André Rodrigues	"Não vou voltar a mim"	André Rodrigues (m & l)	8869	4
Filipa Batista	"O teu lugar"	Augusto Madureira (m & l)	7911	5
Romana	"Acordem olhos doirados"	Romana (m & l), Rodrigo Serrão (m & l)	7087	6
Flor-de-Lis	"Todas as ruas do amor"	Pedro Marques (m & l), Paulo Pereira (l)	7024	7
Nucha	"Tudo está na tua mão"	Ivan Prim (m), Nucha (l)	7000	8
Francisco Andrade	"Voar é ver"	Carlos Massa (m & l), Fernando Abrantes (l)	6782	9
Fernando Pereira	"É o amor"	Lucas Jr. (m), Fernando Pereira (l)	6321	10
Pedro Duvalle	"Sinto sentido"	Pedro Duvalle (m & l)	5873	11
Tayti	"Amore mio, amore mio"	José Félix (m & l)	5705	12
Nuno Norte	"Lua sem luar"	Paulo Abreu de Lima (m & l)	5527	13
Angie	"Sonhar sem limites"	Guido Craveiro (m), Sérgio Oliveira (l)	3073	14
Pedro Daniel	"Sem ti não quero acordar"	Jorge do Carmo (m), Nikita (l)	2774	15
Infantes de Sagres	"O beijo de quando te vais embora"	Miguel Castro (m & l)	2634	16
Sérgio Lucas	"Procuro-me em mim"	António Loureiro (m), Sérgio Lucas (l)	2108	17
Jackpot	"Há sempre um mas"	Jackpot (m & l)	1926	18
Flávio	"Jura que ainda me amas"	Jorge do Carmo (m), Tó Andrade (l)	1856	19
Daniel Costa	"Mais uma vez (este mar salgado)"	Daniel Costa (m & l)	1335	20
Lyana	"Vivo para a paz (Peace)"	Lyana (m & l)	1061	21
Ana Sofia	"O meu planeta especial"	Tó Sanches (m & l)	809	22
Armando Gama	"Amor mais-que-perfeito"	Armando Gama (m & l)	336	23
Miguel Cervini	"Não está"	Miguel Cervini (m & l)	Withdrawn	Withdrawn
