Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
07005	M	Sainte-Marguerite-Marie	83.94	233	La Matapédia	01
07010	M	Sainte-Florence	103.00	473	La Matapédia	01
07018	V	Causapscal	163.88	2,518	La Matapédia	01
07025	M	Albertville	104.55	348	La Matapédia	01
07030	P	Saint-Léon-le-Grand	127.73	1,109	La Matapédia	01
07035	P	Saint-Zénon-du-Lac-Humqui	112.97	436	La Matapédia	01
07040	P	Sainte-Irène	134.03	308	La Matapédia	01
07047	V	Amqui	127.90	6,324	La Matapédia	01
07057	M	Lac-au-Saumon	79.74	1,502	La Matapédia	01
07065	P	Saint-Alexandre-des-Lacs	92.98	304	La Matapédia	01
07070	P	Saint-Tharcisius	79.61	504	La Matapédia	01
07075	M	Saint-Vianney	145.24	499	La Matapédia	01
07080	M	Val-Brillant	80.00	1,025	La Matapédia	01
07085	M	Sayabec	130.29	1,875	La Matapédia	01
07090	P	Saint-Cléophas	97.46	450	La Matapédia	01
07095	P	Saint-Moïse	106.83	661	La Matapédia	01
07100	VL	Saint-Noël	45.68	532	La Matapédia	01
07105	P	Saint-Damase	117.43	437	La Matapédia	01
08005	M	Les Méchins	452.00	1,145	La Matanie	01
08010	P	Saint-Jean-de-Cherbourg	113.23	203	La Matanie	01
08015	M	Grosses-Roches	63.99	417	La Matanie	01
08023	M	Sainte-Félicité	89.76	1,241	La Matanie	01
08030	P	Saint-Adelme	100.20	516	La Matanie	01
08035	M	Saint-René-de-Matane	255.58	1,119	La Matanie	01
08040	M	Sainte-Paule	86.64	205	La Matanie	01
08053	V	Matane	214.63	14,812	La Matanie	01
08065	P	Saint-Léandre	102.62	418	La Matanie	01
08073	M	Saint-Ulric	118.68	1,596	La Matanie	01
08080	M	Baie-des-Sables	64.54	643	La Matanie	01
09005	P	La Rédemption	116.29	514	La Mitis	01
09010	P	Saint-Charles-Garnier	83.73	315	La Mitis	01
09015	M	Les Hauteurs	105.41	570	La Mitis	01
09020	P	Sainte-Jeanne-d'Arc	110.82	334	La Mitis	01
09025	M	Saint-Gabriel-de-Rimouski	132.10	1,292	La Mitis	01
09030	P	Saint-Donat	93.23	818	La Mitis	01
09035	M	Sainte-Angèle-de-Mérici	108.41	1,079	La Mitis	01
09040	M	Padoue	67.57	293	La Mitis	01
09048	V	Métis-sur-Mer	48.01	622	La Mitis	01
09055	P	Saint-Octave-de-Métis	74.63	520	La Mitis	01
09060	M	Grand-Métis	25.85	276	La Mitis	01
09065	VL	Price	2.35	1,769	La Mitis	01
09070	P	Saint-Joseph-de-Lepage	30.27	565	La Mitis	01
09077	V	Mont-Joli	22.64	6,682	La Mitis	01
09085	P	Sainte-Flavie	37.62	956	La Mitis	01
09092	M	Sainte-Luce	74.88	2,930	La Mitis	01
10005	M	Esprit-Saint	169.28	413	Rimouski-Neigette	01
10010	P	La Trinité-des-Monts	233.09	274	Rimouski-Neigette	01
10015	P	Saint-Narcisse-de-Rimouski	166.83	1,010	Rimouski-Neigette	01
10025	P	Saint-Marcellin	117.01	356	Rimouski-Neigette	01
10030	P	Saint-Anaclet-de-Lessard	126.26	2,744	Rimouski-Neigette	01
10043	V	Rimouski	254.16	42,516	Rimouski-Neigette	01
10060	P	Saint-Valérien	149.69	867	Rimouski-Neigette	01
10070	P	Saint-Fabien	128.07	1,853	Rimouski-Neigette	01
10075	P	Saint-Eugène-de-Ladrière	355.09	487	Rimouski-Neigette	01
11005	P	Saint-Clément	80.44	529	Les Basques	01
11010	M	Saint-Jean-de-Dieu	151.32	1,749	Les Basques	01
11015	M	Sainte-Rita	142.88	351	Les Basques	01
11020	M	Saint-Guy	140.09	89	Les Basques	01
11025	M	Saint-Médard	67.59	271	Les Basques	01
11030	P	Sainte-Françoise	88.54	442	Les Basques	01
11035	P	Saint-Éloi	67.69	345	Les Basques	01
11040	V	Trois-Pistoles	7.74	3,575	Les Basques	01
11045	M	Notre-Dame-des-Neiges	92.87	1,181	Les Basques	01
11050	P	Saint-Mathieu-de-Rioux	102.35	634	Les Basques	01
11055	P	Saint-Simon	75.62	468	Les Basques	01
12005	M	Saint-Cyprien	136.14	1,212	Rivière-du-Loup	01
12010	M	Saint-Hubert-de-Rivière-du-Loup	183.99	1,288	Rivière-du-Loup	01
12015	P	Saint-Antonin	182.66	3,674	Rivière-du-Loup	01
12020	M	Saint-Modeste	107.91	898	Rivière-du-Loup	01
12025	M	Saint-François-Xavier-de-Viger	110.19	297	Rivière-du-Loup	01
12030	M	Saint-Épiphane	82.36	905	Rivière-du-Loup	01
12035	P	Saint-Paul-de-la-Croix	84.25	372	Rivière-du-Loup	01
12043	M	L'Isle-Verte	112.33	1,507	Rivière-du-Loup	01
12045	P	Notre-Dame-des-Sept-Douleurs	11.18	45	Rivière-du-Loup	01
12057	M	Cacouna	62.49	1,847	Rivière-du-Loup	01
12065	P	Saint-Arsène	71.01	1,167	Rivière-du-Loup	01
12072	V	Rivière-du-Loup	83.39	18,789	Rivière-du-Loup	01
12080	M	Notre-Dame-du-Portage	39.55	1,199	Rivière-du-Loup	01
13005	V	Dégelis	562.84	3,222	Témiscouata	01
13010	M	Saint-Jean-de-la-Lande	108.80	290	Témiscouata	01
13015	P	Packington	117.89	601	Témiscouata	01
13020	P	Saint-Marc-du-Lac-Long	147.16	486	Témiscouata	01
13025	M	Rivière-Bleue	179.93	1,466	Témiscouata	01
13030	P	Saint-Eusèbe	120.12	614	Témiscouata	01
13040	M	Saint-Juste-du-Lac	170.11	639	Témiscouata	01
13045	M	Auclair	106.66	500	Témiscouata	01
13050	M	Lejeune	269.40	362	Témiscouata	01
13055	M	Biencourt	187.80	589	Témiscouata	01
13060	M	Lac-des-Aigles	85.10	645	Témiscouata	01
13065	P	Saint-Michel-du-Squatec	363.10	1,302	Témiscouata	01
13073	V	Témiscouata-sur-le-Lac	245.60	5,159	Témiscouata	01
13075	M	Saint-Pierre-de-Lamy	115.46	109	Témiscouata	01
13080	P	Saint-Louis-du-Ha! Ha!	114.45	1,409	Témiscouata	01
13085	M	Saint-Elzéar-de-Témiscouata	151.54	335	Témiscouata	01
13090	M	Saint-Honoré-de-Témiscouata	251.58	797	Témiscouata	01
13095	V	Pohénégamook	351.97	2,999	Témiscouata	01
13100	M	Saint-Athanase	289.08	310	Témiscouata	01
14005	M	Mont-Carmel	435.29	1,205	Kamouraska	01
14010	M	Saint-Bruno-de-Kamouraska	186.79	550	Kamouraska	01
14018	V	Saint-Pascal	57.75	3,608	Kamouraska	01
14025	M	Sainte-Hélène	60.34	957	Kamouraska	01
14030	P	Saint-Joseph-de-Kamouraska	84.61	423	Kamouraska	01
14035	M	Saint-Alexandre-de-Kamouraska	115.95	1,834	Kamouraska	01
14040	M	Saint-André	68.94	677	Kamouraska	01
14045	P	Saint-Germain	26.70	283	Kamouraska	01
14050	M	Kamouraska	40.81	715	Kamouraska	01
14055	P	Saint-Denis	33.84	464	Kamouraska	01
14060	P	Saint-Philippe-de-Néri	33.08	914	Kamouraska	01
14065	M	Rivière-Ouelle	54.72	1,176	Kamouraska	01
14070	M	Saint-Pacôme	29.31	1,725	Kamouraska	01
14075	M	Saint-Gabriel-Lalemant	80.49	840	Kamouraska	01
14080	M	Saint-Onésime-d'Ixworth	103.59	627	Kamouraska	01
14085	V	La Pocatière	22.71	4,388	Kamouraska	01
14090	P	Sainte-Anne-de-la-Pocatière	53.68	1,837	Kamouraska	01
