Season	Winner	Runner-up	Third	Winner Men	Winner Women
1981/82	Norway	Czechoslovakia	Sweden	Norway	Norway
1982/83	Norway	Soviet Union	Finland	Norway	Norway
1983/84	Norway	Soviet Union	Sweden	Norway	Norway
1984/85	Norway	Sweden	Soviet Union	Norway	Norway
1985/86	Norway	Sweden	Soviet Union	Sweden	Norway
1986/87	Sweden	Norway	Soviet Union	Sweden	Norway
1987/88	Sweden	Soviet Union	Norway	Sweden	Soviet Union
1988/89	Soviet Union	Sweden	Norway	Sweden	Soviet Union
1989/90	Soviet Union	Norway	Sweden	Norway	Soviet Union
1990/91	Soviet Union	Norway	Sweden	Norway	Soviet Union
1991/92	Norway	Russia	Italy	Norway	Russia
1992/93	Norway	Russia	Italy	Norway	Russia
1993/94	Norway	Russia	Italy	Norway	Russia
1994/95	Russia	Norway	Italy	Norway	Russia
1995/96	Russia	Norway	Italy	Norway	Russia
1996/97	Norway	Russia	Italy	Norway	Russia
1997/98	Norway	Russia	Italy	Norway	Russia
1998/99	Norway	Russia	Sweden	Norway	Russia
1999/00	Norway	Russia	Italy	Norway	Russia
2000/01	Norway	Russia	Italy	Norway	Russia
2001/02	Norway	Russia	Italy	Norway	Norway
2002/03	Norway	Germany	Sweden	Sweden	Norway
2003/04	Norway	Germany	Italy	Norway	Norway
2004/05	Norway	Germany	Russia	Norway	Norway
2005/06	Norway	Sweden	Germany	Norway	Norway
2006/07	Norway	Germany	Finland	Norway	Finland
2007/08	Norway	Finland	Germany	Norway	Norway
2008/09	Norway	Finland	Italy	Norway	Finland
2009/10	Norway	Russia	Sweden	Norway	Norway
2010/11	Norway	Sweden	Russia	Norway	Norway
2011/12	Norway	Russia	Sweden	Russia	Norway
