Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	44	1:21:20.634	1
Rubens Barrichello	Ferrari	44	+1.977	3
Juan Pablo Montoya	Williams - BMW	44	+18.445	5
David Coulthard	McLaren - Mercedes	44	+19.357	6
Ralf Schumacher	Williams - BMW	44	+56.440	4
Eddie Irvine	Jaguar - Cosworth	44	+1:17.370	8
Mika Salo	Toyota	44	+1:17.809	9
Jacques Villeneuve	BAR - Honda	44	+1:19.855	12
Allan McNish	Toyota	43	+1 Lap	13
Nick Heidfeld	Sauber - Petronas	43	+1 Lap	18
Takuma Sato	Jordan - Honda	43	+1 Lap	16
Olivier Panis	BAR - Honda	39	Engine	15
Giancarlo Fisichella	Jordan - Honda	38	Engine	14
Pedro de la Rosa	Jaguar - Cosworth	37	Suspension	11
Felipe Massa	Sauber - Petronas	37	Engine	17
Kimi Räikkönen	McLaren - Mercedes	35	Engine	2
Jarno Trulli	Renault	35	Engine	7
Anthony Davidson	Minardi - Asiatech	17	Spin	20
Jenson Button	Renault	10	Engine	10
Mark Webber	Minardi - Asiatech	4	Gearbox	19
