District	Incumbent	Party	First elected	Result	Candidates
Florida 2	Don Fuqua	Democratic	1962	Re-elected	Don Fuqua (D) 81.7% Pete Brathwaite (R) 18.3%
Florida 3	Charles Edward Bennett	Democratic	1948	Re-elected	Charles Edward Bennett (D) Unopposed
Florida 5	Richard Kelly	Republican	1974	Re-elected	Richard Kelly (R) 51.1% David Ryan Best (D) 48.9%
Florida 6	Bill Young	Republican	1970	Re-elected	Bill Young (R) 78.8% Jim Christison (D) 21.2%
Florida 7	Sam M. Gibbons	Democratic	1962	Re-elected	Sam M. Gibbons (D) Unopposed
Florida 8	Andy Ireland	Democratic	1976	Re-elected	Andy Ireland (D) Unopposed
Florida 9	Louis Frey, Jr.	Republican	1968	Retired to run for Governor Democratic gain	Bill Nelson (D) 61.5% Edward J. Gurney (R) 38.5%
Florida 10	Louis A. Bafalis	Republican	1972	Re-elected	Louis A. Bafalis (R) Unopposed
Florida 11	Paul Rogers	Democratic	1954	Retired Democratic hold	Dan Mica (D) 55.3% Bill James (R) 44.7%
Florida 13	William Lehman	Democratic	1972	Re-elected	William Lehman (D) Unopposed
