Year	Song title	Artist	Master recording ?	Release date	Single / Pack
2007	" Carcinogen Crush "	AFI	Yes	2007-10-31 Oct. 31, 2007	Companion Pack
2007	"Tina"	Flyleaf	Yes	2007-10-31 Oct. 31, 2007	Companion Pack
2002	" All My Life "	Foo Fighters	Yes	2007-11-08 Nov. 8, 2007	Foo Fighters Pack
2007	" Pretender The Pretender "	Foo Fighters	Yes	2007-11-08 Nov. 8, 2007	Foo Fighters Pack
1995	" This Is a Call "	Foo Fighters	Yes	2007-11-08 Nov. 8, 2007	Foo Fighters Pack
2007	" She Builds Quick Machines "	Velvet Revolver	Yes	2007-11-08 Nov. 8, 2007	Velvet Revolver Pack
2004	" Slither "	Velvet Revolver	Yes	2007-11-08 Nov. 8, 2007	Velvet Revolver Pack
2007	"Messages"	Velvet Revolver	Yes	2007-11-08 Nov. 8, 2007	Velvet Revolver Pack
2007	"Tom Morello Guitar Battle"	Tom Morello	Yes	2007-11-15 Nov. 15, 2007	Boss Battle Pack
2007	"Slash Guitar Battle"	Slash	Yes	2007-11-15 Nov. 15, 2007	Boss Battle Pack
2004	" Halo Theme MJOLNIR Mix"	O'Donnell O'Donnell / Salvatori / Vai	Yes	2007-11-22 Nov. 22, 2007	Single
2007	"Ernten Was Wir Säen"	Fantastischen Vier Die Fantastischen Vier	Yes	2007-12-20 Dec. 20, 2007	Single
1996	"So Payaso"	Extremoduro	Yes	2007-12-20 Dec. 20, 2007	Single
1980	"Antisocial"	Trust	Yes	2007-12-20 Dec. 20, 2007	Single
2007	" We Three Kings "	Steve Ouimette	Yes	2007-12-20 Dec. 20, 2007	Single
2007	" Pretty Handsome Awkward "	Used The Used	Yes	2007-12-20 Dec. 20, 2007	Warner / Reprise Track Pack
2007	"No More Sorrow"	Linkin Park	Yes	2007-12-20 Dec. 20, 2007	Warner / Reprise Track Pack
2006	"Sleeping Giant"	Mastodon	Yes	2007-12-20 Dec. 20, 2007	Warner / Reprise Track Pack
1980	" Any Way You Want It "	Journey	Yes	2008-01-24 Jan. 24, 2008	Classic Rock Track Pack
1981	" Jukebox Hero "	Foreigner	Yes	2008-01-24 Jan. 24, 2008	Classic Rock Track Pack
1976	" Peace of Mind "	Boston	Yes	2008-01-24 Jan. 24, 2008	Classic Rock Track Pack
2007	" Dream On "	Aerosmith	Yes	2008-02-16 Feb. 16, 2008	Single
1996	" Excuse Me Mr. "	No Doubt	Yes	2008-02-28 Feb. 28, 2008	No Doubt Track Pack
1996	" Don't Speak "	No Doubt	Yes	2008-02-28 Feb. 28, 2008	No Doubt Track Pack
1996	" Sunday Morning "	No Doubt	Yes	2008-02-28 Feb. 28, 2008	No Doubt Track Pack
2007	" Arsonist The Arsonist"	Thrice	Yes	2008-03-06 Mar. 6, 2008	Modern Metal Track Pack
2006	" Hole in the Earth "	Deftones	Yes	2008-03-06 Mar. 6, 2008	Modern Metal Track Pack
2007	" Almost Easy "	Avenged Sevenfold	Yes	2008-03-06 Mar. 6, 2008	Modern Metal Track Pack
2007	"Famous For Nothing"	Dropkick Murphys	Yes	2008-03-13 Mar. 13, 2008	Dropkick Murphys Track Pack
2007	" (F)lannigan's Ball "	Dropkick Murphys	Yes	2008-03-13 Mar. 13, 2008	Dropkick Murphys Track Pack
2007	" Johnny, I Hardly Knew Ya "	Dropkick Murphys	Yes	2008-03-13 Mar. 13, 2008	Dropkick Murphys Track Pack
2008	" Nine Lives "	Def Leppard	Yes	2008-04-24 Apr. 24, 2008	Def Leppard Track Pack
1983	" Rock of Ages " (Live)	Def Leppard	Yes	2008-04-24 Apr. 24, 2008	Def Leppard Track Pack
1983	" Photograph " (Live)	Def Leppard	Yes	2008-04-24 Apr. 24, 2008	Def Leppard Track Pack
2006	"Exo-Politics"	Muse	Yes	2008-05-08 May 8, 2008	Muse Track Pack
2006	" Supermassive Black Hole "	Muse	Yes	2008-05-08 May 8, 2008	Muse Track Pack
2003	" Stockholm Syndrome "	Muse	Yes	2008-05-08 May 8, 2008	Muse Track Pack
2008	"(We Are) The Road Crew"	Motörhead	Yes	2008-06-05 June 5, 2008	Motörhead Track Pack
2008	"Stay Clean"	Motörhead	Yes	2008-06-05 June 5, 2008	Motörhead Track Pack
2008	" Motorhead "	Motörhead	Yes	2008-06-05 June 5, 2008	Motörhead Track Pack
2008	" End Begins (to Rock) The End Begins (to Rock)"	God of War II	Yes	2008-06-07 June 7, 2008	Single
2006	" Shoot the Runner "	Kasabian	Yes	2008-06-12 June 12, 2008	Isle of Wight Festival Track Pack
2004	" I Predict a Riot "	Kaiser Chiefs	Yes	2008-06-12 June 12, 2008	Isle of Wight Festival Track Pack
2008	"Problems" (Live at Brixton)	Sex Pistols	Yes	2008-06-12 June 12, 2008	Isle of Wight Festival Track Pack
2008	" Violet Hill "	Coldplay	Yes	2008-06-19 June 19, 2008	Coldplay Track Pack
2000	" Yellow "	Coldplay	Yes	2008-06-19 June 19, 2008	Coldplay Track Pack
2002	" God Put a Smile upon Your Face "	Coldplay	Yes	2008-06-19 June 19, 2008	Coldplay Track Pack
2008	"I Am Murloc"	L70ETC	Yes	2008-06-26 June 26, 2008	Single
1986	" Top Gun Anthem "	Steve Ouimette	Yes	2008-07-03 July 3, 2008	Single
1987	" Surfing with the Alien "	Joe Satriani	Yes	2008-07-24 July 24, 2008	Guitar Virtuoso Track Pack
1990	" For the Love of God "	Steve Vai	Yes	2008-07-24 July 24, 2008	Guitar Virtuoso Track Pack
