Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Sam Allardyce	DF	37	0	3	0	2	0	42	0
David Burke	DF	31	1	3	0	2	0	36	1
Peter Butler	MF	0 (4)	0	0	0	0	0	0 (4)	0
Mick Carmody	DF	8	0	0	0	0	0	8	0
Graham Cooper	FW	31 (3)	5	3	0	2	0	36 (3)	5
David Cowling	MF	29 (3)	4	3	0	1	0	33 (3)	4
Brian Cox	GK	37	0	3	0	2	0	42	0
Steve Doyle	MF	36	2	3	0	2	0	41	2
Paul Jones	DF	23	1	0	0	2	1	25	2
Brian Laws	DF	25	1	3	0	2	0	30	1
Mark Lillis	MF	35	13	3	2	1	1	39	16
Keith Mason	GK	5	0	0	0	0	0	5	0
Ian Measham	DF	17	0	0	0	0	0	17	0
Daral Pugh	MF	24 (5)	1	1 (2)	1	1	0	26 (7)	2
Liam Robinson	FW	13 (2)	1	0	0	0	0	13 (2)	1
Brian Stanton	MF	3	1	0	0	0	0	3	1
Steve Stoutt	DF	3	0	3	0	0	0	6	0
Dale Tempest	FW	34 (1)	15	2	1	1	0	37 (1)	16
Robbie Turner	FW	0 (2)	0	0	0	1	0	1 (2)	0
Ian Wadsworth	FW	0 (1)	0	0	0	0	0	0 (1)	0
Simon Webster	DF	16	1	0	0	0	0	16	1
Phil Wilson	MF	40	3	3	0	2	0	45	3
Julian Winter	MF	15 (1)	2	0 (1)	0	1	0	16 (2)	2
