Region	Date	Label	Format	Catalog
Netherlands	April 14, 2005	Magik Muzik	vinyl , 12"	Magik Muzik 823-5
Netherlands	April 14, 2005	Magik Muzik	vinyl , 12"	Magik Muzik 824-5
France	January, 2005	Independence Records	vinyl , 12" , Picture Disc	IR 0431 V
France	January, 2005	Universal Licensing Music (ULM)	vinyl , 12" , Picture Disc	982 570-4
United Kingdom	April 11, 2005	Nebula	vinyl , 12"	NEBT068
United Kingdom	April 11, 2005	Nebula	vinyl , 12"	NEBTX068
United Kingdom	April 5, 2005	Nebula	CD , Maxi-Single, Enhanced	NEBCD068
United Kingdom	2005	Nebula	Vinyl, 12", Promo	NEBDJ068
United Kingdom	December 27, 2007	Wrongun	vinyl , 12" , Single Sided	WRONGUN004
Germany	April 14, 2005	Kontor Records	CD, Maxi-Single, Enhanced, Limited Edition	Kontor446
Germany	April 14, 2005	Kontor Records	vinyl , 12"	Kontor446
Germany	April 14, 2005	Kontor Records	vinyl , 12"	Kontor444
Germany	April 14, 2005	Kontor Records	vinyl , 12"	Kontor445
Germany	May 2, 2005	Edel Distribution GmbH	CD, Maxi-Single, Enhanced, Limited Edition	0159815KON
Germany	May 2, 2005	Edel Distribution GmbH	vinyl , 12"	0159815KON
United States	May 10, 2005	Nettwerk America	CD , Maxi-Single	0 6700 33252 2 6
United States	May 10, 2005	Nettwerk America	vinyl , 12"	0 6700 33250 1 1
United States	May 10, 2005	Nettwerk America	vinyl , 12"	0 6700 33251 1 0
Sweden	2005	Playground Music Scandinavia	CDr, Promo	none
Australia & New Zealand	2005	Central Station	CD , Maxi-Single	CSR CD5 0475
Italy	April, 2005	Media Records	vinyl , 12"	MR 2020
