Tournament	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	A	A	A	A	A	1R	3R	1R	SF	3R	QF
French Open	A	A	A	A	A	A	A	A	2R	3R	A	2R	QF	1R
Wimbledon	A	A	A	A	A	A	A	A	2R	A	1R	QF	1R	A
US Open	A	A	A	A	A	A	A	A	1R	A	A	1R	QF	A
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	2–4	4–2	0–2	8–4	8–4	3–2
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	A	A	A	A	A	A	A	A	2R	A	2R
Miami	A	A	A	A	A	A	A	A	A	A	A	A	1R	SF
Monte Carlo	A	A	A	A	A	A	A	A	A	A	A	2R	QF	QF
Rome	A	A	A	A	A	A	A	A	A	A	A	A	SF	QF
Madrid	A	A	A	A	A	A	A	A	A	A	A	A	QF	2R
Canada	A	A	A	A	A	A	A	A	A	A	A	QF	2R	A
Cincinnati	A	A	A	A	A	A	A	A	A	A	A	SF	SF	1R
Shanghai	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	QF	SF	2R
Paris	A	A	A	A	A	A	A	A	A	A	A	1R	QF	QF
Hamburg	A	A	A	A	A	A	A	A	A	A	A	NM1	NM1	NM1
Win–Loss	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	0–0	5–6	9–8	8–8
Year End Ranking	793	828	264	233	169	463	213	153	40	48	69	13	11	17
