Year	Venue	Winners	2nd place	3rd place
1998	Krško	Rafał Okoniewski	Aleš Dryml, Jr.	Hans N. Andersen
1999	Gniezno	Rafał Okoniewski	Karol Malecha	Jarosław Hampel
2000	Ljubljana	Lukáš Dryml	Niels Kristian Iversen	Zbigniew Czerwiński
2001	Pardubice	Łukasz Romanek	Rafał Kurmański	Daniel Davidsson
2002	Daugavpils	Matej Žagar	Kenneth Bjerre	Fredrik Lindgren
2003	Pocking	Kenneth Bjerre	Janusz Kołodziej	Antonio Lindbäck
2004	Rybnik	Antonio Lindbäck	Karol Ząbik	Morten Risager
2005	Mšeno	Karol Ząbik	Kasts Poudzuks	Robert Pettersson
2006	Goričan	Jurica Pavlič	Andriej Karpov	Lars Hansen
2007	Częstochowa	Nicolai Klindt	Jurica Pavlič	Filip Šitera
2008	Stralsund	Artur Mroczka	Maciej Janowski	Artem Vodyakov
2009	Tarnów	Przemysław Pawlicki	Maciej Janowski	Martin Vaculík
2010	Goričan	Dennis Andersson	Przemysław Pawlicki	Patryk Dudek
2011	Ljubljana	Piotr Pawlicki	Michael Jepsen Jensen	Vitaly Belousov
Year	Venue	Winners	2nd place	3rd place
