Heat	Lane	Name	Country	Mark
1	5	Ene Franca Idoko	Nigeria	7.10
1	4	Yevgeniya Polyakova	Russia	7.20
1	3	LaVerne Jones-Ferrette	United States Virgin Islands	7.24
1	1	Lena Berntsson	Sweden	7.26 PB
1	2	Verena Sailer	Germany	7.28
1	6	Ivet Lalova	Bulgaria	7.31 SB
1	7	Ailis McSweeney	Ireland	7.46
1	8	Nina Kovacic	Slovenia	7.47
2	6	Tahesia Harrigan	British Virgin Islands	7.12 NR
2	4	Jeanette Kwakye	United Kingdom	7.13 NR
2	3	Kim Gevaert	Belgium	7.18
2	8	Alexis Joyce	United States	7.22
2	5	Virgen Benavides	Cuba	7.25
2	2	Inna Eftimova	Bulgaria	7.33
2	7	Delphine Atangana	Cameroon	7.37
2	1	Vida Anim	Ghana	7.45
3	5	Angela Williams	United States	7.12
3	4	Oludamola Osayomi	Nigeria	7.21
3	3	Guzel Khubbieva	Uzbekistan	7.27
3	6	Laura Turner	United Kingdom	7.28 SB
3	7	Svetlana Nabokina	Russia	7.28
3	1	Ezinne Okparaebo	Norway	7.34 SB
3	8	Bettina Müller-Weissina	Austria	7.35 SB
3	2	Lina Grincikaité	Lithuania	7.41
