Series	Season	Played in	First Match	Tests played (sched)	Tests won by Australia	Tests won by England	Tests drawn	Series result	Holder at series end
1	1934-35	Australia	28 December 1934	3	0	2	1	England	England
2	1937	England	12 June 1937	3	1	1	1	Drawn	England
3	1949-50	Australia	15 January 1949	3	1	0	2	Australia	Australia
4	1951	England	16 June 1951	3	1	1	1	Drawn	Australia
5	1957-58	Australia	7 February 1958	3 (4)	0	0	3	Drawn	Australia
6	1963	England	15 June 1961	3	0	1	2	England	England
7	1968-69	Australia	27 December 1968	3	0	0	3	Drawn	England
8	1976	England	19 June 1976	3	0	0	3	Drawn	England
9	1984-85	Australia	13 December 1984	5	2	1	2	Australia	Australia
10	1987	England	1 August 1987	3	1	0	2	Australia	Australia
11	1991-92	Australia	19 February 1992	1	1	0	0	Australia	Australia
12	1998	England	6 August 1998	3	0	0	3	Drawn	Australia
13	2001	England	24 June 2001	2	2	0	0	Australia	Australia
14	2002-2003	Australia	15 February 2003	2	1	0	1	Australia	Australia
15	2005	England	9 August 2005	2	0	1	1	England	England
16	2007-2008	Australia	15 February 2008	1	0	1	0	England	England
17	2009	England	10 July 2009	1	0	0	1	Drawn	England
