Title	Japan	North America	Europe	Australia
Jigsaw World	February 3, 1995	Unreleased	Unreleased	Unreleased
The Oni Taiji: Mezase! Nidaime Momotarou	October 13, 1995	Unreleased	Unreleased	Unreleased
Jigsaw Land: Japan Graffiti	September 13, 1996	Unreleased	Unreleased	Unreleased
Souryu: Logical Mahjong	December 20, 1996	Unreleased	Unreleased	Unreleased
Doki Doki Shutter Chance	October 23, 1997	Unreleased	Unreleased	Unreleased
SatelliTV	January 8, 1998	Unreleased	Unreleased	Unreleased
Cooking Fighter Hao	May 21, 1998	Unreleased	Unreleased	Unreleased
Rhapsody: A Musical Adventure	December 17, 1998	July 30, 2000	Unreleased	Unreleased
Logic Mahjong Souryu	May 5, 1999	Unreleased	Unreleased	Unreleased
Little Princess: Maru Oukoku no Ningyou Hime 2	November 25, 1999	Unreleased	Unreleased	Unreleased
Tenshi no Present: Marle Oukoku Monogatari	December 21, 2000	Unreleased	Unreleased	Unreleased
Marl de Jigsaw	November 15, 2001	Unreleased	Unreleased	Unreleased
La Pucelle: Tactics	January 31, 2002	May 4, 2004	April 1, 2005	April 15, 2005
Disgaea: Hour of Darkness	January 30, 2003	August 27, 2003	May 28, 2004	June 9, 2004
Marujan!!	April 23, 2004	Unreleased	Unreleased	Unreleased
Phantom Brave	January 22, 2004	August 31, 2004	February 4, 2005	Unreleased
Atelier Iris: Eternal Mana	May 27, 2004	June 28, 2005	March 17, 2006	March 23, 2006
Hayari Gami	August 5, 2004	Unreleased	Unreleased	Unreleased
Makai Kingdom: Chronicles of the Sacred Tome	March 17, 2005	July 26, 2005	October 25, 2005	Unreleased
Eien no Aseria: The Spirit of the Eternity Sword	May 12, 2005	Unreleased	Unreleased	Unreleased
Hayarigami Revenge	July 14, 2005	Unreleased	Unreleased	Unreleased
Tristia of the Deep-Blue Sea	August 11, 2005	Unreleased	Unreleased	Unreleased
Rasetsu Alternative	October 13, 2005	Unreleased	Unreleased	Unreleased
Hayarigami Portable	December 15, 2005	Unreleased	Unreleased	Unreleased
Disgaea 2: Cursed Memories	February 23, 2006	August 29, 2006	November 3, 2006	November 23, 2006
Disgaea: Afternoon of Darkness	November 30, 2006	October 30, 2007	December 14, 2007	December 20, 2007
Soul Nomad & the World Eaters	February 15, 2007	September 25, 2007	June 27, 2008	Unreleased
GrimGrimoire	April 12, 2007	June 26, 2007	September 27, 2007	September 28, 2007
Hayarigami 2	November 15, 2007	Unreleased	Unreleased	Unreleased
Disgaea 3: Absence of Justice	January 31, 2008	August 26, 2008	February 20, 2009	March 5, 2009
Cross Edge	September 25, 2008	May 26, 2009	September 18, 2009	September 28, 2009
Prinny: Can I Really Be the Hero?	November 20, 2008	February 17, 2009	June 26, 2009	Unreleased
Disgaea 2: Dark Hero Days	March 26, 2009	September 8, 2009	February 5, 2010	February 18, 2010
Let's Hitchhike	March 31, 2009	Unreleased	Unreleased	Unreleased
A Witch's Tale	May 28, 2009	October 6, 2009	Unreleased	Unreleased
Trinity Universe	October 1, 2009	June 29, 2010	June 25, 2010	Unreleased
Disgaea Infinite	November 1, 2009	June 8, 2010	November 17, 2010	Unreleased
Last Rebellion	January 28, 2010	February 23, 2010	March 26, 2010	Unreleased
Prinny 2: Dawn of Operation Panties, Dood!	March 25, 2010	January 11, 2011	December 15, 2010	Unreleased
Z.H.P. Unlosing Ranger VS Darkdeath Evilman	March 11, 2010	October 26, 2010	November 3, 2010	Unreleased
Cladun: This is an RPG	February 18, 2010	September 20, 2010	November 17, 2010	Unreleased
Blue Roses: Yousei to Aoi Hitomi no Senshitachi	September 16, 2010	Unreleased	Unreleased	Unreleased
Criminal Girls	November 18, 2010	Unreleased	Unreleased	Unreleased
Disgaea 4: A Promise Unforgotten	February 24, 2011	September 6, 2011	November 4, 2011	November 24, 2011
Labyrinth Tower: Legasista	March 15, 2012	August 21, 2012	August 22, 2012	Unreleased
Special Report Division	August 23, 2012	Unreleased	Unreleased	Unreleased
The Guided Fate Paradox	January 23, 2013	November 5, 2013	October 25, 2013	Unreleased
Disgaea D2: A Brighter Darkness	March 20, 2013	October 8, 2013	September 27, 2013	September 27, 2013
Zillions of Enemy X	May 23, 2013	Unreleased	Unreleased	Unreleased
The Witch and The Hundred Knights	July 25, 2013	Unreleased	Unreleased	Unreleased
Battle Princess of Arcadias	September 26, 2013	Unreleased	Unreleased	Unreleased
