Rank	Map Reference Number	Census Statistical Area	2007 Population	Lake(s)
1	16	Chicago-Naperville-Michigan City, IL-IN-WI CSA	9,745,165	Lake Michigan
2	15	Detroit-Warren-Flint, MI CSA	5,405,918	Lake Erie and Lake Huron
3	21	Cleveland-Akron-Elyria, OH CSA	2,896,968	Lake Erie
4	13	Milwaukee-Racine-Waukesha, WI CSA	1,739,497	Lake Michigan
5	14	Grand Rapids-Muskegon-Holland, MI CSA	1,323,095	Lake Michigan
6	24	Buffalo-Niagara-Cattaraugus, NY CSA	1,208,270	Lake Erie and Lake Ontario
7	25	Rochester-Batavia-Seneca Falls, NY CSA	1,122,845	Lake Ontario
8	26	Syracuse-Auburn, NY CSA	725,359	Lake Ontario
9	19	Toledo-Fremont, OH CSA	711,952	Lake Erie
10	17	Kalamazoo-Portage, MI MSA	323,264	Lake Michigan
11	12	Saginaw-Bay City-Saginaw Township North, MI CSA	309,785	Lake Huron
12	9	Green Bay, WI MSA	301,131	Lake Michigan
13	22	Erie, PA MSA	279,092	Lake Erie
14	1	Duluth, MN-WI MSA	274,308	Lake Superior
15	18	Niles-Benton Harbor, MI MSA	159,589	Lake Michigan
16	7	Traverse City, MI μSA	142,075	Lake Michigan
17	23	Jamestown-Dunkirk-Fredonia, NY μSA	133,945	Lake Erie
18	27	Watertown-Fort Drum, NY μSA	117,201	Lake Ontario
19	11	Sheboygan, WI MSA	114,504	Lake Michigan
20	10	Manitowoc, WI μSA	80,928	Lake Michigan
21	20	Sandusky, OH MSA	77,323	Lake Erie
22	6	Marinette, WI-MI μSA	66,820	Lake Michigan
23	3	Marquette, MI μSA	65,216	Lake Superior
24	4	Sault Ste. Marie, MI μSA	38,922	Lake Huron and Lake Superior
25	5	Escanaba, MI μSA	37,367	Lake Michigan
26	2	Houghton, MI μSA	37,352	Lake Superior
27	8	Alpena, MI μSA	29,707	Lake Huron
