Club	Founded	Homeground	Suburb	Seniors	Juniors
Beaudesert Kingfishers	1962	R.S. Willis Park	Beaudesert	No	Yes
Bilambil Jets	1923	Bilambil Sports Complex	Bilambil	Yes	Yes
Burleigh Bears	1934	Pizzey Park	Miami	Yes	Yes
Coomera Cutters	2012	Coomera Sports Park	Coomera	No	Yes
Cudgen Hornets	1950	Ned Byrne Field	Kingscliff	Yes	Yes
Currumbin Eagles	1976	Merv Craig Sporting Complex	Currumbin Waters	Yes	Yes
Helensvale Hornets	1991	Robert Dalley Park	Helensvale	No	Yes
Jimboomba Thunder	2003	Jimboomba Park	Jimboomba	No	Yes
Mudgeeraba Redbacks	1992	Firth Park	Mudgeeraba	No	Yes
Nerang Roosters	1977	Glennon Park	Nerang	Yes	Yes
Ormeau Shearers	1999	Ormeau Oval	Ormeau	Yes	Yes
Parkwood Sharks	1976	Musgrave Sports Park	Parkwood	Yes	Yes
Robina Raptors	2005	Station Reserve	Robina	No	Yes
Runaway Bay Seagulls	1979	Bycroft Oval	Runaway Bay	Yes	Yes
South Tweed RLFC	2012	Les Burger Fields	South Tweed	Yes	Yes
Southport Tigers	1931	Owen Park	Southport	Yes	Yes
Tugun Seahawks	1978	Betty Diamond Complex	Tugun	Yes	Yes
Tweed Coast Raiders	1980	Les Burger Fields	Cabarita	Yes	Yes
